x_mm,y_mm
-3.58519266861812,-53.6407667711618
-4.0844528668105,-53.6428285901441
-4.58419561116559,-53.6418481996426
-5.08442214516138,-53.6378148267125
-5.5851333161151,-53.6307152380331
-6.08632947680232,-53.6205337964704
-6.58801038982813,-53.6072525201158
-7.09017513479912,-53.5908511437143
-7.59282201834316,-53.5713071823973
-8.09594848702163,-53.548595997631
-8.59955104317692,-53.5226908652949
-9.10362516375549,-53.4935630458001
-9.60816522214535,-53.4611818561589
-10.1131644130638,-53.4255147439167
-10.6186146805302,-53.3865273628544
-11.1245066489555,-53.3441836503719
-11.630829557378,-53.2984459064602
-12.1375711968747,-53.2492748741718
-12.6447178511721,-53.1966298214949
-13.1522542404802,-53.1404686245423
-13.660163468573,-53.0807478519584
-14.1684269731312,-53.0174228504543
-14.6770244793676,-52.9504478313762
-15.1859339569472,-52.8797759582136
-15.6951315802167,-52.8053594349546
-16.2045916917524,-52.7271495951933
-16.7142867692356,-52.6450969918974
-17.2241873956615,-52.5591514877401
-17.7342622328856,-52.4692623459044
-18.2444779985089,-52.3753783212651
-18.7547994461022,-52.2774477518557
-19.2651893487673,-52.1754186505263
-19.7756084860286,-52.0692387966998
-20.2860156340514,-51.9588558281338
-20.7963675591745,-51.8442173325947
-21.3066190147491,-51.7252709393531
-21.8167227412688,-51.6019644104071
-22.3266294697765,-51.4742457313443
-22.8362879285304,-51.3420632017493
-23.3456448529099,-51.2053655250674
-23.8546449985395,-51.0641018978354
-24.3632311576078,-50.9182220981884
-24.8713441783553,-50.7676765735556
-25.3789229877036,-50.6124165274566
-25.8859046169967,-50.4523940053102
-26.3922242308217,-50.287561979171
-26.897815158877,-50.1178744313064
-27.4026089308503,-49.94328643653
-27.9065353142702,-49.7637542432073
-28.4095223552917,-49.5792353528509
-28.9114964223737,-49.3896885982223
-29.4123822528057,-49.1950742198604
-29.9121030020381,-48.9953539409559
-30.4105802957695,-48.7904910404918
-30.9077342847415,-48.5804504245747
-31.4034837021909,-48.3651986958767
-31.8977459239065,-48.1447042211157
-32.3904370308369,-47.9189371964965
-32.881471874192,-47.687869711043
-33.3707641429817,-47.4514758077463
-33.8582264339324,-47.209731542461
-34.3437703237197,-46.9626150404786
-34.8273064434548,-46.7101065507116
-35.3087445553604,-46.4521884974209
-35.7879936315711,-46.1888455294226
-36.264961934989,-45.9200645667094
-36.7395571021276,-45.6458348444271
-37.2116862278726,-45.3661479541426
-37.6812559520879,-45.0809978823481
-38.1481725479932,-44.7903810461413
-38.6123420122397,-44.4942963260287
-39.0736701566064,-44.192745095796
-39.5320627012408,-43.8857312493952
-39.9874253693645,-43.5732612247962
-40.4396639833648,-43.2553440247567
-40.8886845621899,-42.9319912344604
-41.3343934199667,-42.6032170359815
-41.7766972657562,-42.2690382195302
-42.215503304364,-41.9294741914379
-42.6507193381178,-41.5845469788444
-43.0822538695272,-41.2342812310468
-43.5100162047363,-40.8787042174771
-43.9339165576828,-40.5178458222721
-44.3538661548703,-40.1517385354064
-44.7697773406677,-39.7804174403566
-45.18156368304,-39.4039201982703
-45.5891400796217,-39.0222870286132
-45.9924228640373,-38.6355606862714
-46.391329912377,-38.2437864350868
-46.7857807497318,-37.8470120178056
-47.1756966566939,-37.445287622424
-47.561000775726,-37.0386658449132
-47.9416182173034,-36.6272016483138
-48.3174761657324,-36.2109523181848
-48.688503984547,-35.7899774144014
-49.0546333213874,-35.3643387192934
-49.4157982122598,-34.9341001821195
-49.7719351850824,-34.4993278598759
-50.1229833624147,-34.0600898544377
-50.468884563275,-33.6164562460378
-50.809583403943,-33.1684990230835
-51.145027397651,-32.7162920083218
-51.4751670530622,-32.2599107813583
-51.799955971437,-31.799432597543
-52.1193509423864,-31.3349363032358
-52.4333120381147,-30.8665022474664
-52.7418027060496,-30.3942121900072
-53.0447898597606,-29.9181492058787
-53.3422439680664,-29.4383975863104
-53.6341391422315,-28.9550427361804
-53.9204532211529,-28.468171067962
-54.2011678544369,-27.9778698922058
-54.4762685832694,-27.4842273045883
-54.7457449189786,-26.9873320695613
-55.0095904191944,-26.4872735006372
-55.2678027615053,-25.9841413373492
-55.5203838145174,-25.478025618927
-55.7673397062167,-24.9690165547288
-56.0086808895408,-24.4572043914771
-56.2444222050638,-23.9426792773442
-56.4745829406988,-23.4255311229359
-56.6991868883261,-22.9058494592275
-56.9182623972514,-22.3837232925034
-57.1318424244036,-21.8592409563581
-57.339964581179,-21.3324899608163
-57.5426711768428,-20.803556838632
-57.7400092583955,-20.2725269888313
-57.9320306468193,-19.7394845175605
-58.118791969612,-19.2045120763095
-58.3003546895259,-18.667690697578
-58.4767851294231,-18.1290996280564
-58.6481544931643,-17.5888161593944
-58.8145388824467,-17.0469154566324
-58.9760193095107,-16.5034703843744
-59.1326817056319,-15.9585513307812
-59.2846169253214,-15.4122260294652
-59.4319207461552,-14.8645593793709
-59.5746938641561,-14.315613262727
-59.7130418846527,-13.7654463611572
-59.8470753085425,-13.2141139700396
-59.9769095138857,-12.6616678112054
-60.10266473276,-12.1081558440719
-60.2244660233075,-11.5536220753039
-60.3424432369046,-10.9981063671
-60.4567309803923,-10.4416442442047
-60.5674685732995,-9.88426669974586
