t_s,ch,tap,banco_uv,pp_uv,real_mv_vs_vref,clavado
708.0,2,OPA_SUMo,1103629.5,1068.0,2034.0,False
708.0,3,SUMo,1103152.5,1163.0,2024.5,False
708.0,4,LPo,732784,152,-5351.7,True
720.0,0,PGAgain,952424.5,11291.0,-977.4,False
720.0,1,BPo,989875.5,7448.0,-231.5,False
720.0,2,OPA_SUMo,1103343.5,877.0,2028.3,False
720.0,3,SUMo,1102923.5,962.5,2019.9,False
720.0,4,LPo,732812.5,114.0,-5351.1,True
732.0,0,PGAgain,952872.5,10442.0,-968.5,False
732.0,1,BPo,989522.5,8363.5,-238.5,False
732.0,2,OPA_SUMo,1103134.0,1191.5,2024.1,False
732.0,3,SUMo,1102676.0,1153.5,2015.0,False
732.0,4,LPo,732822.0,152.0,-5350.9,True
744.0,0,PGAgain,952834.5,7629.0,-969.2,False
744.0,1,BPo,990018.5,9002.5,-228.7,False
744.0,2,OPA_SUMo,1103000.0,1039.0,2021.4,False
744.0,3,SUMo,1102494.5,848.0,2011.4,False
744.0,4,LPo,732803.0,133.0,-5351.3,True
756.0,0,PGAgain,952538.5,9793.5,-975.1,False
756.0,1,BPo,989999.0,7076.0,-229.1,False
756.0,2,OPA_SUMo,1102971.5,1287.0,2020.9,False
756.0,3,SUMo,1102475.5,991.5,2011.0,False
756.0,4,LPo,732774.5,161.5,-5351.9,True
768.0,0,PGAgain,952463.0,7428.5,-976.6,False
768.0,1,BPo,989656.0,8859.0,-235.9,False
768.0,2,OPA_SUMo,1102790.0,1067.5,2017.3,False
768.0,3,SUMo,1102265.5,838.5,2006.8,False
768.0,4,LPo,732822.0,142.5,-5350.9,True
780.0,0,PGAgain,952701.0,6713.5,-971.9,False
780.0,1,BPo,990113.5,7190.5,-226.8,False
780.0,2,OPA_SUMo,1102781.0,1058.0,2017.1,False
780.0,3,SUMo,1102342.0,877.0,2008.3,False
780.0,4,LPo,732869.5,152.0,-5350.0,True
792.0,0,PGAgain,952596.5,9222.0,-973.9,False
792.0,1,BPo,989389.0,8248.5,-241.2,False
792.0,2,OPA_SUMo,1102733.0,1067.5,2016.1,False
792.0,3,SUMo,1102208.5,829.0,2005.7,False
792.0,4,LPo,732784.0,218.5,-5351.7,True
804.0,0,PGAgain,952529.0,8010.5,-975.3,False
804.0,1,BPo,989913.5,5197.0,-230.8,False
804.0,2,OPA_SUMo,1102666.5,1058.0,2014.8,False
804.0,3,SUMo,1102227.5,934.0,2006.1,False
804.0,4,LPo,732841.0,152.0,-5350.5,True
816.0,0,PGAgain,952176.5,10404.0,-982.3,False
816.0,1,BPo,989475.0,8811.5,-239.5,False
816.0,2,OPA_SUMo,1102666.5,1163.0,2014.8,False
816.0,3,SUMo,1102208.5,972.0,2005.7,False
816.0,4,LPo,732869.5,142.5,-5350.0,True
828.0,0,PGAgain,952110.0,10661.5,-983.6,False
828.0,1,BPo,989541.5,6484.5,-238.2,False
828.0,2,OPA_SUMo,1102733.0,1096.0,2016.1,False
828.0,3,SUMo,1102275.5,905.5,2007.0,False
828.0,4,LPo,732869.5,209.0,-5350.0,True
