t_s,etapa,medido_real_mv,valido,error_mv,idac1,idac2,paso_fino,paso_grueso,motivo
1549.7,busca1,-5180.7,False,,16,0,0,0,lectura fuera de rango; no se integra
1555.4,busca1,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1561.0,busca1,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1566.7,busca1,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1572.3,busca1,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1578.0,busca1,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1583.6,busca1,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1589.3,busca1,-5180.7,False,,16,0,0,0,lectura fuera de rango; no se integra
1594.9,busca1,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
1600.6,busca1,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
1601.9,busca2,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
1610.5,busca2,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
1616.1,busca2,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1621.8,busca2,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1627.4,busca2,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1633.1,busca2,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1638.7,busca2,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1644.4,busca2,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1650.1,busca2,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
1655.7,busca2,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1661.4,busca2,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1667.0,busca2,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1672.7,busca2,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1678.3,busca2,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1684.0,busca2,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1685.3,busca3,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1690.9,busca3,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1696.6,busca3,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1702.2,busca3,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
1707.9,busca3,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
1713.5,busca3,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1719.2,busca3,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1724.8,busca3,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1730.5,busca3,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1736.1,busca3,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1741.8,busca3,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1747.4,busca3,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1753.1,busca3,-5180.7,False,,16,0,0,0,lectura fuera de rango; no se integra
1758.7,busca3,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1764.4,busca3,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1765.7,busca4,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1771.3,busca4,-5180.4,False,,16,0,0,0,lectura fuera de rango; no se integra
1777.0,busca4,-5180.7,False,,16,0,0,0,lectura fuera de rango; no se integra
1782.6,busca4,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
1788.3,busca4,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1793.9,busca4,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
1799.6,busca4,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1805.2,busca4,-5180.4,False,,16,0,0,0,lectura fuera de rango; no se integra
1810.9,busca4,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
1816.5,busca4,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1822.2,busca4,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1827.8,busca4,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1833.5,busca4,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1839.1,busca4,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
1844.8,busca4,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1849.5,busca5,-5182.4,False,,16,0,0,0,lectura fuera de rango; no se integra
1855.1,busca5,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1860.8,busca5,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1866.4,busca5,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
1872.1,busca5,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
1877.7,busca5,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1883.3,busca5,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1889.0,busca5,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1894.6,busca5,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1900.3,busca5,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
1905.9,busca5,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1911.6,busca5,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
1917.2,busca5,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1922.9,busca5,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1928.5,busca5,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1931.3,busca6,-5182.8,False,,16,0,0,0,lectura fuera de rango; no se integra
1937.0,busca6,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
1942.6,busca6,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
1948.3,busca6,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
1953.9,busca6,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1959.6,busca6,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1965.2,busca6,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
1970.9,busca6,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
1976.5,busca6,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1982.2,busca6,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1987.8,busca6,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1993.5,busca6,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
1999.1,busca6,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
2004.8,busca6,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2010.5,busca6,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2011.7,busca7,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2020.4,busca7,-5180.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2026.0,busca7,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
2031.7,busca7,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2037.3,busca7,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2043.0,busca7,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2048.6,busca7,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2054.3,busca7,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2059.9,busca7,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2065.6,busca7,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2071.2,busca7,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2076.9,busca7,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2082.5,busca7,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2088.2,busca7,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
2093.8,busca7,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2095.1,busca8,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
2100.8,busca8,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
2106.4,busca8,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2112.1,busca8,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2117.7,busca8,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2123.4,busca8,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2129.0,busca8,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2134.7,busca8,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2140.3,busca8,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2146.0,busca8,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2151.6,busca8,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
2157.3,busca8,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2162.9,busca8,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2168.6,busca8,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2174.2,busca8,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2175.5,afina,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2181.2,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2186.8,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2192.5,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2198.1,afina,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
2203.8,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2209.4,afina,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
2215.1,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2220.7,afina,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
2226.4,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2232.0,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2237.7,afina,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
2243.3,afina,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2249.0,afina,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
2254.6,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2258.9,afina,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
2264.6,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2270.2,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2275.9,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2281.5,afina,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
2287.2,afina,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
2292.8,afina,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2298.5,afina,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
2304.1,afina,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
2309.8,afina,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
2315.4,afina,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
2321.1,afina,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
2326.7,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2332.4,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2338.0,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2339.3,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2345.0,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2350.6,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2356.3,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2361.9,afina,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2367.6,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2373.2,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2378.9,afina,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
2384.5,afina,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
2390.2,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2395.8,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2401.5,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2407.1,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2412.8,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2418.4,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2419.7,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2425.4,afina,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
2431.0,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2436.7,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2442.3,afina,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2448.0,afina,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
2453.6,afina,-5183.8,False,,16,0,0,0,lectura fuera de rango; no se integra
2459.3,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2464.9,afina,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2470.6,afina,-5183.4,False,,16,0,0,0,lectura fuera de rango; no se integra
2476.2,afina,-5181.1,False,,16,0,0,0,lectura fuera de rango; no se integra
2481.9,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
2487.5,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2493.2,afina,-5182.6,False,,16,0,0,0,lectura fuera de rango; no se integra
2498.8,afina,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
