t_s,pasada,idac0,idac1,idac2,fase,posicion,asentamiento_incompleto,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
389.377,1,19,-192,-255,malla,,False,4,LPo,732097.0,228.0,True,False,True,-5365.349327100001
391.577,1,19,-192,-128,malla,,False,0,PGAgain,1000614.0,14152.0,True,True,False,-17.645310199999347
392.23,1,19,-192,-128,malla,,False,1,BPo,968704.0,12664.0,True,True,False,-653.155297200001
392.875,1,19,-192,-128,malla,,False,2,OPA_SUMo,954971.0,2079.0,True,True,False,-926.6576053
393.526,1,19,-192,-128,malla,,False,3,SUMo,954647.0,1716.0,True,True,False,-933.1102920999991
397.589,1,19,-192,-128,malla,,False,4,LPo,732135.0,190.0,True,False,True,-5364.5925305
400.403,1,19,-192,-64,malla,,False,0,PGAgain,1001243.0,15525.0,True,True,False,-5.118334899998968
401.05,1,19,-192,-64,malla,,False,1,BPo,968418.0,12798.0,True,True,False,-658.8511874
401.698,1,19,-192,-64,malla,,False,2,OPA_SUMo,972023.0,1335.0,True,True,False,-587.0550888999995
402.35,1,19,-192,-64,malla,,False,3,SUMo,971927.0,1792.0,True,True,False,-588.9669960999996
403.0,1,19,-192,-64,malla,,False,4,LPo,732078.0,247.0,True,False,True,-5365.727725400001
405.202,1,19,-192,0,malla,,False,0,PGAgain,1001377.0,13046.0,True,True,False,-2.449631100000942
405.852,1,19,-192,0,malla,,False,1,BPo,969142.0,12931.0,True,True,False,-644.432220599999
406.501,1,19,-192,0,malla,,False,2,OPA_SUMo,988178.0,1487.0,True,True,False,-265.31695540000004
407.151,1,19,-192,0,malla,,False,3,SUMo,987987.0,1583.0,True,True,False,-269.12085410000066
407.801,1,19,-192,0,malla,,False,4,LPo,732021.0,190.0,True,False,True,-5366.862920300001
410.007,1,19,-192,64,malla,,False,0,PGAgain,1001605.0,7972.0,True,True,False,2.0911485000003625
410.656,1,19,-192,64,malla,,False,1,BPo,969028.0,15392.0,True,True,False,-646.7026103999997
411.308,1,19,-192,64,malla,,False,2,OPA_SUMo,1004467.0,1239.0,True,True,False,59.089881899999696
411.957,1,19,-192,64,malla,,False,3,SUMo,1004276.0,1392.0,True,True,False,55.28598319999908
412.607,1,19,-192,64,malla,,False,4,LPo,732192.0,171.0,True,False,True,-5363.4573356
414.812,1,19,-192,128,malla,,False,0,PGAgain,1001415.0,7324.0,True,True,False,-1.6928345000007246
415.464,1,19,-192,128,malla,,False,1,BPo,969543.0,17433.0,True,True,False,-636.4460248999999
416.115,1,19,-192,128,malla,,False,2,OPA_SUMo,1020545.0,1087.0,True,True,False,379.2945064999992
416.762,1,19,-192,128,malla,,False,3,SUMo,1020202.0,1258.0,True,True,False,372.46342139999996
417.413,1,19,-192,128,malla,,False,4,LPo,732116.0,190.0,True,False,True,-5364.9709288
419.614,1,19,-192,255,malla,,False,0,PGAgain,1001567.0,7953.0,True,True,False,1.334351900000145
420.263,1,19,-192,255,malla,,False,1,BPo,967998.0,15964.0,True,True,False,-667.2157813999991
420.914,1,19,-192,255,malla,,False,2,OPA_SUMo,1052379.0,1373.0,True,True,False,1013.2909002999982
421.563,1,19,-192,255,malla,,False,3,SUMo,1051959.0,1525.0,True,True,False,1004.9263063000012
422.216,1,19,-192,255,malla,,False,4,LPo,732116.0,190.0,True,False,True,-5364.9709288
424.421,1,19,-192,56,abba,A1,False,0,PGAgain,1001358.0,9117.0,True,True,False,-2.828029400001051
425.073,1,19,-192,56,abba,A1,False,1,BPo,968723.0,14305.0,True,True,False,-652.7768989000009
425.721,1,19,-192,56,abba,A1,False,2,OPA_SUMo,1001224.0,1239.0,True,True,False,-5.496733199999077
426.37,1,19,-192,56,abba,A1,False,3,SUMo,1000862.0,1640.0,True,True,False,-12.70621660000067
427.018,1,19,-192,56,abba,A1,False,4,LPo,732154.0,190.0,True,False,True,-5364.214132200001
429.225,1,19,-192,72,abba,B1,False,0,PGAgain,1001663.0,8678.0,True,True,False,3.2462591000002177
429.873,1,19,-192,72,abba,B1,False,1,BPo,968875.0,16899.0,True,True,False,-649.7497125
430.525,1,19,-192,72,abba,B1,False,2,OPA_SUMo,1005096.0,1487.0,True,True,False,71.61685720000007
434.635,1,19,-192,72,abba,B1,False,3,SUMo,1005611.0,1811.0,True,True,False,81.8734426999998
435.916,1,19,-192,72,abba,B1,False,4,LPo,732078.0,171.0,True,False,True,-5365.727725400001
438.12,1,19,-192,72,abba,B2,False,0,PGAgain,1002006.0,9346.0,True,True,False,10.07734419999944
438.771,1,19,-192,72,abba,B2,False,1,BPo,969238.0,16155.0,True,True,False,-642.5203133999989
439.417,1,19,-192,72,abba,B2,False,2,OPA_SUMo,1005535.0,1220.0,True,True,False,80.35984949999937
440.067,1,19,-192,72,abba,B2,False,3,SUMo,1005363.0,1564.0,True,True,False,76.93434910000113
440.718,1,19,-192,72,abba,B2,False,4,LPo,732154.0,152.0,True,False,True,-5364.214132200001
442.921,1,19,-192,56,abba,A2,False,0,PGAgain,1001377.0,7972.0,True,True,False,-2.449631100000942
443.569,1,19,-192,56,abba,A2,False,1,BPo,969371.0,16613.0,True,True,False,-639.8715253000004
444.218,1,19,-192,56,abba,A2,False,2,OPA_SUMo,1001167.0,1163.0,True,True,False,-6.631928099999403
444.868,1,19,-192,56,abba,A2,False,3,SUMo,1000938.0,1335.0,True,True,False,-11.192623400000237
445.517,1,19,-192,56,abba,A2,False,4,LPo,732116.0,247.0,True,False,True,-5364.9709288
447.716,1,19,-192,60,abba,A1,False,0,PGAgain,1001186.0,9937.0,True,True,False,-6.253529799999294
448.366,1,19,-192,60,abba,A1,False,1,BPo,968799.0,15716.0,True,True,False,-651.2633057000005
449.017,1,19,-192,60,abba,A1,False,2,OPA_SUMo,1002006.0,1411.0,True,True,False,10.07734419999944
449.667,1,19,-192,60,abba,A1,False,3,SUMo,1001853.0,1144.0,True,True,False,7.0302420999990405
453.797,1,19,-192,60,abba,A1,False,4,LPo,732154.0,209.0,True,False,True,-5364.214132200001
456.611,1,19,-192,68,abba,B1,False,0,PGAgain,1001224.0,11558.0,True,True,False,-5.496733199999077
457.259,1,19,-192,68,abba,B1,False,1,BPo,969696.0,14953.0,True,True,False,-633.3989227999995
457.907,1,19,-192,68,abba,B1,False,2,OPA_SUMo,1002807.0,1201.0,True,True,False,26.029819900000327
458.557,1,19,-192,68,abba,B1,False,3,SUMo,1002578.0,1525.0,True,True,False,21.469124599999493
459.208,1,19,-192,68,abba,B1,False,4,LPo,732135.0,209.0,True,False,True,-5364.5925305
461.411,1,19,-192,68,abba,B2,False,0,PGAgain,1001472.0,9040.0,True,True,False,-0.5576396000003985
462.057,1,19,-192,68,abba,B2,False,1,BPo,968990.0,16269.0,True,True,False,-647.4594069999998
462.708,1,19,-192,68,abba,B2,False,2,OPA_SUMo,1002731.0,991.0,True,True,False,24.516226699999894
463.36,1,19,-192,68,abba,B2,False,3,SUMo,1002578.0,1487.0,True,True,False,21.469124599999493
464.009,1,19,-192,68,abba,B2,False,4,LPo,732154.0,171.0,True,False,True,-5364.214132200001
466.212,1,19,-192,60,abba,A2,False,0,PGAgain,1001720.0,9250.0,True,True,False,4.381454000000543
466.861,1,19,-192,60,abba,A2,False,1,BPo,969810.0,17299.0,True,True,False,-631.1285330000011
467.513,1,19,-192,60,abba,A2,False,2,OPA_SUMo,1000709.0,1277.0,True,True,False,-15.753318700001069
468.162,1,19,-192,60,abba,A2,False,3,SUMo,1000480.0,1525.0,True,True,False,-20.314013999999638
468.813,1,19,-192,60,abba,A2,False,4,LPo,732097.0,133.0,True,False,True,-5365.349327100001
471.018,1,19,-192,62,abba,A1,False,0,PGAgain,1001377.0,14934.0,True,True,False,-2.449631100000942
471.666,1,19,-192,62,abba,A1,False,1,BPo,969753.0,17223.0,True,True,False,-632.2637278999991
472.317,1,19,-192,62,abba,A1,False,2,OPA_SUMo,1001300.0,1125.0,True,True,False,-3.983140000000906
472.969,1,19,-192,62,abba,A1,False,3,SUMo,1001129.0,1697.0,True,True,False,-7.38872469999962
473.62,1,19,-192,62,abba,A1,False,4,LPo,732097.0,267.0,True,False,True,-5365.349327100001
475.821,1,19,-192,66,abba,B1,False,0,PGAgain,1000843.0,8907.0,True,True,False,-13.08461490000078
476.471,1,19,-192,66,abba,B1,False,1,BPo,969905.0,17127.0,True,True,False,-629.2365415000006
477.12,1,19,-192,66,abba,B1,False,2,OPA_SUMo,1002407.0,1335.0,True,True,False,18.06353990000078
477.769,1,19,-192,66,abba,B1,False,3,SUMo,1002235.0,1220.0,True,True,False,14.638039500000273
481.897,1,19,-192,66,abba,B1,False,4,LPo,732135.0,171.0,True,False,True,-5364.5925305
484.708,1,19,-192,66,abba,B2,False,0,PGAgain,1000995.0,10643.0,True,True,False,-10.05742849999991
485.358,1,19,-192,66,abba,B2,False,1,BPo,969295.0,17528.0,True,True,False,-641.3851185000009
486.008,1,19,-192,66,abba,B2,False,2,OPA_SUMo,1001434.0,1258.0,True,True,False,-1.314436200000616
486.658,1,19,-192,66,abba,B2,False,3,SUMo,1001129.0,1640.0,True,True,False,-7.38872469999962
