t_s,bloque,idac2,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido
1184.3,1,-180,1,BPo,977802,3356,-472.0,True
1184.9,1,-180,2,OPA_SUMo,1096019,152,1882.4,True
1185.6,1,-180,3,SUMo,1094684,114,1855.8,True
1189.2,1,-180,4,LPo,721492,152,-5576.6,False
1199.8,1,-180,0,PGAgain,871887,12168,-2581.3,False
1200.5,1,-180,1,BPo,978317,3414,-461.7,True
1201.1,1,-180,2,OPA_SUMo,1096057,228,1883.2,True
1201.8,1,-180,3,SUMo,1094665,114,1855.4,True
1202.4,1,-180,4,LPo,721473,114,-5576.9,False
1213.1,1,-180,0,PGAgain,871658,11634,-2585.9,False
1213.7,1,-180,1,BPo,978240,3662,-463.2,True
1214.4,1,-180,2,OPA_SUMo,1096057,152,1883.2,True
1215.0,1,-180,3,SUMo,1094684,95,1855.8,True
1215.7,1,-180,4,LPo,721435,133,-5577.7,False
1316.4,2,-210,0,PGAgain,870037,13217,-2618.2,False
1317.0,2,-210,1,BPo,978355,2593,-460.9,True
1317.7,2,-210,2,OPA_SUMo,1085815,591,1679.2,True
1318.3,2,-210,3,SUMo,1094684,95,1855.8,True
1319.0,2,-210,4,LPo,721492,152,-5576.6,False
1329.6,2,-210,0,PGAgain,871257,11425,-2593.9,False
1330.3,2,-210,1,BPo,979003,3147,-448.0,True
1330.9,2,-210,2,OPA_SUMo,1086540,801,1693.6,True
1331.6,2,-210,3,SUMo,1094665,114,1855.4,True
1332.2,2,-210,4,LPo,721416,133,-5578.1,False
1342.9,2,-210,0,PGAgain,871028,11615,-2598.4,False
1343.5,2,-210,1,BPo,978870,3585,-450.7,True
1344.2,2,-210,2,OPA_SUMo,1086997,591,1702.7,True
1344.8,2,-210,3,SUMo,1094665,95,1855.4,True
1345.5,2,-210,4,LPo,721454,152,-5577.3,False
1356.1,2,-210,0,PGAgain,871257,12817,-2593.9,False
1356.8,2,-210,1,BPo,977935,3738,-469.3,True
1357.4,2,-210,2,OPA_SUMo,1087207,743,1706.9,True
1358.1,2,-210,3,SUMo,1094665,114,1855.4,True
1358.7,2,-210,4,LPo,721473,152,-5576.9,False
1369.4,2,-210,0,PGAgain,870800,12378,-2603.0,False
1370.0,2,-210,1,BPo,978050,4711,-467.0,True
1370.7,2,-210,2,OPA_SUMo,1087532,877,1713.4,True
1371.3,2,-210,3,SUMo,1094665,114,1855.4,True
1372.0,2,-210,4,LPo,721435,171,-5577.7,False
1382.6,2,-210,0,PGAgain,872135,13427,-2576.4,False
1383.3,2,-210,1,BPo,978851,3395,-451.1,True
1383.9,2,-210,2,OPA_SUMo,1087589,705,1714.5,True
1384.6,2,-210,3,SUMo,1094646,114,1855.1,True
1385.2,2,-210,4,LPo,721435,171,-5577.7,False
1395.9,2,-210,0,PGAgain,871734,14286,-2584.4,False
1396.5,2,-210,1,BPo,978641,3662,-455.3,True
1397.2,2,-210,2,OPA_SUMo,1087703,915,1716.8,True
1397.8,2,-210,3,SUMo,1094665,133,1855.4,True
1398.5,2,-210,4,LPo,721492,190,-5576.6,False
1409.1,2,-210,0,PGAgain,870532,12435,-2608.3,False
1409.8,2,-210,1,BPo,977993,4119,-468.2,True
1410.4,2,-210,2,OPA_SUMo,1087856,724,1719.8,True
1411.1,2,-210,3,SUMo,1094684,114,1855.8,True
1413.2,2,-210,4,LPo,721454,180,-5577.3,False
1423.9,2,-210,0,PGAgain,871047,13694,-2598.1,False
1424.5,2,-210,1,BPo,978546,4329,-457.1,True
1425.2,2,-210,2,OPA_SUMo,1087837,820,1719.5,True
1425.8,2,-210,3,SUMo,1094665,114,1855.4,True
1426.5,2,-210,4,LPo,721473,152,-5576.9,False
1437.1,2,-210,0,PGAgain,870819,11692,-2602.6,False
1437.8,2,-210,1,BPo,977916,3147,-469.7,True
1438.4,2,-210,2,OPA_SUMo,1087951,534,1721.7,True
1439.1,2,-210,3,SUMo,1094665,114,1855.4,True
1439.7,2,-210,4,LPo,721435,247,-5577.7,False
1450.3,2,-210,0,PGAgain,869770,10910,-2623.5,False
1451.0,2,-210,1,BPo,978870,3700,-450.7,True
1451.7,2,-210,2,OPA_SUMo,1087989,724,1722.5,True
1452.3,2,-210,3,SUMo,1094684,95,1855.8,True
1452.9,2,-210,4,LPo,721492,171,-5576.6,False
1463.6,2,-210,0,PGAgain,871963,11215,-2579.8,False
1464.2,2,-210,1,BPo,978794,4253,-452.2,True
1464.9,2,-210,2,OPA_SUMo,1088047,610,1723.6,True
1465.5,2,-210,3,SUMo,1094665,114,1855.4,True
1466.2,2,-210,4,LPo,721454,152,-5577.3,False
1476.8,2,-210,0,PGAgain,871334,14572,-2592.3,False
1477.5,2,-210,1,BPo,977897,3204,-470.1,True
1478.1,2,-210,2,OPA_SUMo,1087856,610,1719.8,True
1478.8,2,-210,3,SUMo,1094665,114,1855.4,True
1479.4,2,-210,4,LPo,721454,152,-5577.3,False
1490.1,2,-210,0,PGAgain,871486,12893,-2589.3,False
1490.7,2,-210,1,BPo,978183,4024,-464.4,True
1491.4,2,-210,2,OPA_SUMo,1087913,782,1721.0,True
1492.0,2,-210,3,SUMo,1094646,95,1855.1,True
1492.7,2,-210,4,LPo,721492,152,-5576.6,False
1503.3,2,-210,0,PGAgain,871009,12874,-2598.8,False
1504.0,2,-210,1,BPo,978736,3490,-453.4,True
1504.6,2,-210,2,OPA_SUMo,1088085,705,1724.4,True
1505.3,2,-210,3,SUMo,1094665,152,1855.4,True
1505.9,2,-210,4,LPo,721454,152,-5577.3,False
1516.6,2,-210,0,PGAgain,873336,12435,-2552.5,False
1517.2,2,-210,1,BPo,978374,4024,-460.6,True
1517.9,2,-210,2,OPA_SUMo,1087989,782,1722.5,True
1518.5,2,-210,3,SUMo,1094665,114,1855.4,True
1519.2,2,-210,4,LPo,721454,209,-5577.3,False
1529.8,2,-210,0,PGAgain,871391,11615,-2591.2,False
1530.5,2,-210,1,BPo,978431,4158,-459.4,True
1532.6,2,-210,2,OPA_SUMo,1087780,534,1718.3,True
1535.1,2,-210,3,SUMo,1094694,124,1856.0,True
1536.1,2,-210,4,LPo,721511,171,-5576.2,False
1546.7,2,-210,0,PGAgain,871067,11672,-2597.7,False
1547.4,2,-210,1,BPo,978126,4310,-465.5,True
1548.0,2,-210,2,OPA_SUMo,1089172,972,1746.0,True
1548.7,2,-210,3,SUMo,1094627,133,1854.7,True
1549.3,2,-210,4,LPo,721454,114,-5577.3,False
1560.0,2,-210,0,PGAgain,870647,11405,-2606.0,False
1560.6,2,-210,1,BPo,977458,2765,-478.8,True
1561.3,2,-210,2,OPA_SUMo,1088600,591,1734.7,True
1561.9,2,-210,3,SUMo,1094646,76,1855.1,True
1562.6,2,-210,4,LPo,721473,190,-5576.9,False
1573.2,2,-210,0,PGAgain,870895,12016,-2601.1,False
1573.9,2,-210,1,BPo,978240,3013,-463.2,True
1574.5,2,-210,2,OPA_SUMo,1088314,858,1729.0,True
1575.2,2,-210,3,SUMo,1094627,114,1854.7,True
1575.8,2,-210,4,LPo,721492,133,-5576.6,False
1586.5,2,-210,0,PGAgain,870494,11978,-2609.1,False
1587.1,2,-210,1,BPo,978527,2593,-457.5,True
1587.8,2,-210,2,OPA_SUMo,1088180,762,1726.3,True
1588.4,2,-210,3,SUMo,1094646,114,1855.1,True
1589.1,2,-210,4,LPo,721511,114,-5576.2,False
1599.7,2,-210,0,PGAgain,871562,12397,-2587.8,False
1600.4,2,-210,1,BPo,977916,3395,-469.7,True
1601.0,2,-210,2,OPA_SUMo,1087970,705,1722.1,True
1601.7,2,-210,3,SUMo,1094646,133,1855.1,True
1602.3,2,-210,4,LPo,721473,171,-5576.9,False
1613.0,2,-210,0,PGAgain,870780,11634,-2603.4,False
1613.6,2,-210,1,BPo,977993,3585,-468.2,True
1614.3,2,-210,2,OPA_SUMo,1088142,667,1725.5,True
1614.9,2,-210,3,SUMo,1094665,95,1855.4,True
1615.6,2,-210,4,LPo,721473,152,-5576.9,False
1626.2,2,-210,0,PGAgain,869903,13084,-2620.8,False
1626.9,2,-210,1,BPo,978183,3433,-464.4,True
1627.5,2,-210,2,OPA_SUMo,1088237,743,1727.4,True
1628.2,2,-210,3,SUMo,1094627,114,1854.7,True
1628.8,2,-210,4,LPo,721511,171,-5576.2,False
1639.5,2,-210,0,PGAgain,871696,11329,-2585.1,False
1640.1,2,-210,1,BPo,978221,3566,-463.6,True
1640.8,2,-210,2,OPA_SUMo,1088180,896,1726.3,True
1641.4,2,-210,3,SUMo,1094665,133,1855.4,True
1642.1,2,-210,4,LPo,721492,190,-5576.6,False
1655.7,2,-210,0,PGAgain,871067,15163,-2597.7,False
1657.1,2,-210,1,BPo,978164,3414,-464.8,True
1657.8,2,-210,2,OPA_SUMo,1088886,896,1740.4,True
1658.4,2,-210,3,SUMo,1094665,95,1855.4,True
1659.0,2,-210,4,LPo,721454,133,-5577.3,False
1669.7,2,-210,0,PGAgain,871143,11177,-2596.2,False
1670.3,2,-210,1,BPo,977706,3757,-473.9,True
1671.0,2,-210,2,OPA_SUMo,1088542,743,1733.5,True
1671.6,2,-210,3,SUMo,1094665,114,1855.4,True
1672.3,2,-210,4,LPo,721473,133,-5576.9,False
1682.9,2,-210,0,PGAgain,870075,11539,-2617.4,False
1683.6,2,-210,1,BPo,978088,4482,-466.3,True
1684.2,2,-210,2,OPA_SUMo,1088504,724,1732.7,True
1688.0,2,-210,3,SUMo,1094646,95,1855.1,True
1689.3,2,-210,4,LPo,721378,133,-5578.8,False
1699.9,2,-210,0,PGAgain,870761,12416,-2603.8,False
1700.6,2,-210,1,BPo,977344,3147,-481.1,True
1701.2,2,-210,2,OPA_SUMo,1089725,820,1757.1,True
1704.8,2,-210,3,SUMo,1094608,133,1854.3,True
1706.3,2,-210,4,LPo,721435,152,-5577.7,False
1716.9,2,-210,0,PGAgain,870819,11692,-2602.6,False
1717.6,2,-210,1,BPo,977115,3623,-485.6,True
1718.2,2,-210,2,OPA_SUMo,1090354,705,1769.6,True
1718.9,2,-210,3,SUMo,1094665,95,1855.4,True
1719.5,2,-210,4,LPo,721435,171,-5577.7,False
