t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
145.95,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096401,133,1890.0,True,True
146.60,vigilancia,4,0,0,0,0,3,SUMo,1095008,171,1862.3,True,True
147.25,vigilancia,4,0,0,0,0,4,LPo,721511,190,-5576.2,False,True
150.90,vigilancia,4,0,0,0,0,0,PGAgain,878353,22926,-2452.6,False,False
151.54,vigilancia,4,0,0,0,0,1,BPo,978832,11501,-451.4,True,False
155.14,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096401,95,1890.0,True,True
156.59,vigilancia,4,0,0,0,0,3,SUMo,1095008,133,1862.3,True,True
157.24,vigilancia,4,0,0,0,0,4,LPo,721511,171,-5576.2,False,True
160.88,vigilancia,4,0,0,0,0,0,PGAgain,878086,19683,-2457.9,False,False
161.53,vigilancia,4,0,0,0,0,1,BPo,977859,10013,-470.8,True,False
162.18,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096401,133,1890.0,True,True
162.82,vigilancia,4,0,0,0,0,3,SUMo,1095008,152,1862.3,True,True
163.47,vigilancia,4,0,0,0,0,4,LPo,721511,171,-5576.2,False,True
167.12,vigilancia,4,0,0,0,0,0,PGAgain,878047,16632,-2458.7,False,False
167.76,vigilancia,4,0,0,0,0,1,BPo,977935,8964,-469.3,True,False
168.41,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096420,152,1890.4,True,True
169.06,vigilancia,4,0,0,0,0,3,SUMo,1095046,114,1863.0,True,True
169.71,vigilancia,4,0,0,0,0,4,LPo,721569,228,-5575.0,False,True
173.35,vigilancia,4,0,0,0,0,0,PGAgain,877799,21705,-2463.6,False,False
174.00,vigilancia,4,0,0,0,0,1,BPo,978088,12283,-466.3,True,False
174.65,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096401,152,1890.0,True,True
176.77,vigilancia,4,0,0,0,0,3,SUMo,1095036,171,1862.8,True,True
179.30,vigilancia,4,0,0,0,0,4,LPo,721559,162,-5575.2,False,True
182.95,vigilancia,4,0,0,0,0,0,PGAgain,878658,21820,-2446.5,False,False
183.60,vigilancia,4,0,0,0,0,1,BPo,977573,9555,-476.5,True,False
184.25,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096401,152,1890.0,True,True
184.89,vigilancia,4,0,0,0,0,3,SUMo,1095027,95,1862.7,True,True
185.54,vigilancia,4,0,0,0,0,4,LPo,721549,171,-5575.4,False,True
190.66,vigilancia,4,0,0,0,0,0,PGAgain,877771,20684,-2464.1,False,False
193.19,vigilancia,4,0,0,0,0,1,BPo,977354,10108,-480.9,True,False
194.11,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096420,133,1890.4,True,True
194.75,vigilancia,4,0,0,0,0,3,SUMo,1095027,152,1862.7,True,True
195.40,vigilancia,4,0,0,0,0,4,LPo,721569,228,-5575.0,False,True
199.05,vigilancia,4,0,0,0,0,0,PGAgain,878200,20217,-2455.6,False,False
199.69,vigilancia,4,0,0,0,0,1,BPo,977649,9613,-475.0,True,False
200.34,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096458,171,1891.2,True,True
200.99,vigilancia,4,0,0,0,0,3,SUMo,1095027,114,1862.7,True,True
201.64,vigilancia,4,0,0,0,0,4,LPo,721645,171,-5573.5,False,True
205.28,vigilancia,4,0,0,0,0,0,PGAgain,878658,22392,-2446.5,False,False
205.93,vigilancia,4,0,0,0,0,1,BPo,977897,8068,-470.1,True,False
206.58,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096439,152,1890.8,True,True
207.22,vigilancia,4,0,0,0,0,3,SUMo,1095046,171,1863.0,True,True
207.87,vigilancia,4,0,0,0,0,4,LPo,721549,228,-5575.4,False,True
211.52,vigilancia,4,0,0,0,0,0,PGAgain,877151,17585,-2476.5,False,False
212.17,vigilancia,4,0,0,0,0,1,BPo,977268,9059,-482.6,True,False
212.82,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096458,152,1891.2,True,True
213.47,vigilancia,4,0,0,0,0,3,SUMo,1095046,133,1863.0,True,True
214.11,vigilancia,4,0,0,0,0,4,LPo,721569,190,-5575.0,False,True
217.76,vigilancia,4,0,0,0,0,0,PGAgain,878734,16746,-2445.0,False,False
218.41,vigilancia,4,0,0,0,0,1,BPo,977115,9994,-485.6,True,False
219.05,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096439,114,1890.8,True,True
219.70,vigilancia,4,0,0,0,0,3,SUMo,1095027,114,1862.7,True,True
220.35,vigilancia,4,0,0,0,0,4,LPo,721626,171,-5573.9,False,True
224.00,vigilancia,4,0,0,0,0,0,PGAgain,878543,16269,-2448.8,False,False
227.72,vigilancia,4,0,0,0,0,1,BPo,977287,9346,-482.2,True,False
228.98,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096401,114,1890.0,True,True
229.63,vigilancia,4,0,0,0,0,3,SUMo,1095008,114,1862.3,True,True
230.28,vigilancia,4,0,0,0,0,4,LPo,721588,171,-5574.6,False,True
233.93,vigilancia,4,0,0,0,0,0,PGAgain,877628,20942,-2467.0,False,False
234.57,vigilancia,4,0,0,0,0,1,BPo,977478,8487,-478.4,True,False
235.22,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096401,152,1890.0,True,True
235.87,vigilancia,4,0,0,0,0,3,SUMo,1095008,114,1862.3,True,True
236.51,vigilancia,4,0,0,0,0,4,LPo,721683,133,-5572.8,False,True
240.16,vigilancia,4,0,0,0,0,0,PGAgain,878868,19149,-2442.3,False,False
240.81,vigilancia,4,0,0,0,0,1,BPo,977497,10185,-478.0,True,False
241.46,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096420,133,1890.4,True,True
242.11,vigilancia,4,0,0,0,0,3,SUMo,1095046,114,1863.0,True,True
242.76,vigilancia,4,0,0,0,0,4,LPo,721645,171,-5573.5,False,True
246.40,vigilancia,4,0,0,0,0,0,PGAgain,878372,18062,-2452.2,False,False
247.05,vigilancia,4,0,0,0,0,1,BPo,977401,8697,-479.9,True,False
250.79,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096439,76,1890.8,True,True
252.05,vigilancia,4,0,0,0,0,3,SUMo,1095046,114,1863.0,True,True
252.69,vigilancia,4,0,0,0,0,4,LPo,721588,152,-5574.6,False,True
