t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
324.99,vigilancia,4,0,0,0,0,3,SUMo,981369,915,-400.9,True,False
325.62,vigilancia,4,0,0,0,0,4,LPo,1012344,1506,216.0,True,False
329.27,vigilancia,4,0,0,0,0,0,PGAgain,986366,267,-301.4,True,True
329.92,vigilancia,4,0,0,0,0,1,BPo,986423,362,-300.3,True,False
330.57,vigilancia,4,0,0,0,0,2,OPA_SUMo,986213,171,-304.5,True,True
331.22,vigilancia,4,0,0,0,0,3,SUMo,981369,858,-400.9,True,False
331.87,vigilancia,4,0,0,0,0,4,LPo,1012248,1926,214.1,True,False
335.53,vigilancia,4,0,0,0,0,0,PGAgain,986347,133,-301.8,True,True
336.18,vigilancia,4,0,0,0,0,1,BPo,986442,305,-299.9,True,False
336.83,vigilancia,4,0,0,0,0,2,OPA_SUMo,986232,171,-304.1,True,True
337.49,vigilancia,4,0,0,0,0,3,SUMo,981426,762,-399.8,True,False
338.12,vigilancia,4,0,0,0,0,4,LPo,1012458,2040,218.2,True,False
341.77,vigilancia,4,0,0,0,0,0,PGAgain,986347,114,-301.8,True,True
342.42,vigilancia,4,0,0,0,0,1,BPo,986461,419,-299.5,True,False
343.07,vigilancia,4,0,0,0,0,2,OPA_SUMo,986213,190,-304.5,True,True
343.72,vigilancia,4,0,0,0,0,3,SUMo,981330,858,-401.7,True,False
344.37,vigilancia,4,0,0,0,0,4,LPo,1012802,1716,225.1,True,False
348.02,vigilancia,4,0,0,0,0,0,PGAgain,986366,171,-301.4,True,True
348.67,vigilancia,4,0,0,0,0,1,BPo,986461,343,-299.5,True,False
349.31,vigilancia,4,0,0,0,0,2,OPA_SUMo,986213,171,-304.5,True,True
349.96,vigilancia,4,0,0,0,0,3,SUMo,981426,915,-399.8,True,False
350.61,vigilancia,4,0,0,0,0,4,LPo,1012287,1773,214.8,True,False
354.26,vigilancia,4,0,0,0,0,0,PGAgain,986347,171,-301.8,True,True
354.90,vigilancia,4,0,0,0,0,1,BPo,986480,343,-299.1,True,False
355.55,vigilancia,4,0,0,0,0,2,OPA_SUMo,986251,190,-303.7,True,True
356.20,vigilancia,4,0,0,0,0,3,SUMo,981521,934,-397.9,True,False
356.85,vigilancia,4,0,0,0,0,4,LPo,1012001,1945,209.1,True,False
360.50,vigilancia,4,0,0,0,0,0,PGAgain,986366,133,-301.4,True,True
361.15,vigilancia,4,0,0,0,0,1,BPo,986461,419,-299.5,True,False
361.80,vigilancia,4,0,0,0,0,2,OPA_SUMo,986232,190,-304.1,True,True
362.45,vigilancia,4,0,0,0,0,3,SUMo,981388,972,-400.5,True,False
363.09,vigilancia,4,0,0,0,0,4,LPo,1012420,1773,217.5,True,False
366.74,vigilancia,4,0,0,0,0,0,PGAgain,986366,171,-301.4,True,True
367.39,vigilancia,4,0,0,0,0,1,BPo,986423,457,-300.3,True,False
368.04,vigilancia,4,0,0,0,0,2,OPA_SUMo,986251,228,-303.7,True,True
368.69,vigilancia,4,0,0,0,0,3,SUMo,981464,724,-399.0,True,False
369.34,vigilancia,4,0,0,0,0,4,LPo,1011943,2002,208.0,True,False
372.98,vigilancia,4,0,0,0,0,0,PGAgain,986347,133,-301.8,True,True
373.63,vigilancia,4,0,0,0,0,1,BPo,986423,324,-300.3,True,False
374.28,vigilancia,4,0,0,0,0,2,OPA_SUMo,986232,190,-304.1,True,True
374.93,vigilancia,4,0,0,0,0,3,SUMo,981502,915,-398.3,True,False
375.58,vigilancia,4,0,0,0,0,4,LPo,1011962,1926,208.4,True,False
379.23,vigilancia,4,0,0,0,0,0,PGAgain,986328,152,-302.2,True,True
379.88,vigilancia,4,0,0,0,0,1,BPo,986423,324,-300.3,True,False
380.52,vigilancia,4,0,0,0,0,2,OPA_SUMo,986213,171,-304.5,True,True
381.17,vigilancia,4,0,0,0,0,3,SUMo,981502,782,-398.3,True,False
381.82,vigilancia,4,0,0,0,0,4,LPo,1011390,1754,197.0,True,False
385.47,vigilancia,4,0,0,0,0,0,PGAgain,986347,133,-301.8,True,True
386.12,vigilancia,4,0,0,0,0,1,BPo,986423,343,-300.3,True,False
386.77,vigilancia,4,0,0,0,0,2,OPA_SUMo,986213,247,-304.5,True,True
387.42,vigilancia,4,0,0,0,0,3,SUMo,981388,953,-400.5,True,False
388.05,vigilancia,4,0,0,0,0,4,LPo,1012268,1926,214.5,True,False
391.69,vigilancia,4,0,0,0,0,0,PGAgain,986328,114,-302.2,True,True
392.35,vigilancia,4,0,0,0,0,1,BPo,986461,343,-299.5,True,False
392.99,vigilancia,4,0,0,0,0,2,OPA_SUMo,986194,209,-304.8,True,True
393.64,vigilancia,4,0,0,0,0,3,SUMo,981407,820,-400.2,True,False
394.29,vigilancia,4,0,0,0,0,4,LPo,1012268,1602,214.5,True,False
399.43,vigilancia,4,0,0,0,0,0,PGAgain,986356,162,-301.6,True,True
401.96,vigilancia,4,0,0,0,0,1,BPo,986470,400,-299.3,True,False
402.88,vigilancia,4,0,0,0,0,2,OPA_SUMo,986213,171,-304.5,True,True
403.53,vigilancia,4,0,0,0,0,3,SUMo,981273,782,-402.8,True,False
404.18,vigilancia,4,0,0,0,0,4,LPo,1012725,1773,223.6,True,False
407.83,vigilancia,4,0,0,0,0,0,PGAgain,986347,133,-301.8,True,True
408.47,vigilancia,4,0,0,0,0,1,BPo,986423,305,-300.3,True,False
409.12,vigilancia,4,0,0,0,0,2,OPA_SUMo,986175,190,-305.2,True,True
409.77,vigilancia,4,0,0,0,0,3,SUMo,981292,762,-402.5,True,False
