t_s,pasada,idac0,idac1,idac2,fase,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
457.577,1,19,-192,-4,fino,2,OPA_SUMo,990085.0,629.0,True,True,False,-227.3377154999993
458.228,1,19,-192,-4,fino,3,SUMo,990009.0,629.0,True,True,False,-228.85130869999972
458.877,1,19,-192,-4,fino,4,LPo,986232.0,1716.0,True,True,False,-304.0729076000006
461.077,1,19,-192,-2,fino,0,PGAgain,1000823.0,3032.0,True,True,False,-13.482928900000417
461.728,1,19,-192,-2,fino,1,BPo,967330.0,4692.0,True,True,False,-680.5194689999993
465.857,1,19,-192,-2,fino,2,OPA_SUMo,990791.0,705.0,True,True,False,-213.27723129999893
467.122,1,19,-192,-2,fino,3,SUMo,990924.0,972.0,True,True,False,-210.62844320000045
467.768,1,19,-192,-2,fino,4,LPo,978145.0,1735.0,True,True,False,-465.1311735000004
469.974,1,19,-192,0,fino,0,PGAgain,1000900.0,3890.0,True,True,False,-11.949420000000453
470.625,1,19,-192,0,fino,1,BPo,967159.0,5187.0,True,True,False,-683.9250537000001
471.272,1,19,-192,0,fino,2,OPA_SUMo,991535.0,667.0,True,True,False,-198.45995050000064
471.921,1,19,-192,0,fino,3,SUMo,991573.0,648.0,True,True,False,-197.70315390000042
472.573,1,19,-192,0,fino,4,LPo,973091.0,1659.0,True,True,False,-565.7851212999999
474.778,1,19,-192,2,fino,0,PGAgain,1000499.0,3738.0,True,True,False,-19.93561569999953
475.428,1,19,-192,2,fino,1,BPo,967197.0,3356.0,True,True,False,-683.1682571
476.079,1,19,-192,2,fino,2,OPA_SUMo,992107.0,743.0,True,True,False,-187.0681701000006
476.724,1,19,-192,2,fino,3,SUMo,992126.0,705.0,True,True,False,-186.68977180000047
477.372,1,19,-192,2,fino,4,LPo,968246.0,1907.0,True,True,False,-662.2766878000004
479.576,1,19,-192,4,fino,0,PGAgain,1000118.0,3318.0,True,True,False,-27.52349739999897
480.222,1,19,-192,4,fino,1,BPo,967311.0,3738.0,True,True,False,-680.8978672999993
480.868,1,19,-192,4,fino,2,OPA_SUMo,992603.0,801.0,True,True,False,-177.18998290000096
485.024,1,19,-192,4,fino,3,SUMo,992546.0,648.0,True,True,False,-178.32517779999904
486.307,1,19,-192,4,fino,4,LPo,960960.0,1335.0,True,True,False,-807.3824779999993
488.509,1,19,-192,8,fino,0,PGAgain,1000251.0,3395.0,True,True,False,-24.87470930000047
489.158,1,19,-192,8,fino,1,BPo,966854.0,4844.0,True,True,False,-689.9993421999992
489.806,1,19,-192,8,fino,2,OPA_SUMo,993709.0,724.0,True,True,False,-155.16321870000107
490.452,1,19,-192,8,fino,3,SUMo,993633.0,743.0,True,True,False,-156.67681189999925
491.101,1,19,-192,8,fino,4,LPo,952434.0,1754.0,True,True,False,-977.1837362000007
581.859,1,19,-128,0,referencia,0,PGAgain,1000785.0,4386.0,True,True,False,-14.239725500000635
582.511,1,19,-128,0,referencia,1,BPo,972919.0,5149.0,True,True,False,-569.2106217000004
586.574,1,19,-128,0,referencia,2,OPA_SUMo,972194.0,705.0,True,True,False,-583.6495042000008
587.836,1,19,-128,0,referencia,3,SUMo,972213.0,648.0,True,True,False,-583.2711059000007
588.485,1,19,-128,0,referencia,4,LPo,1018943.0,1659.0,True,True,False,347.3895550999997
590.688,1,19,-128,-255,malla,0,PGAgain,999488.0,3108.0,True,True,False,-40.070388399998876
591.339,1,19,-128,-255,malla,1,BPo,973548.0,4158.0,True,True,False,-556.6836464
591.988,1,19,-128,-255,malla,2,OPA_SUMo,846786.0,1583.0,True,False,False,-3081.2376098000013
592.639,1,19,-128,-255,malla,3,SUMo,848770.0,1773.0,True,False,False,-3041.7248610000006
596.754,1,19,-128,-255,malla,4,LPo,1106491.0,247.0,True,True,True,2090.9692587
599.57,1,19,-128,-128,malla,0,PGAgain,999584.0,20675.0,True,True,False,-38.15848120000107
600.22,1,19,-128,-128,malla,1,BPo,972328.0,27236.0,True,True,False,-580.9808004000006
600.869,1,19,-128,-128,malla,2,OPA_SUMo,929660.0,5359.0,True,True,False,-1430.7438880000007
601.52,1,19,-128,-128,malla,3,SUMo,930480.0,5207.0,True,True,False,-1414.4130139999997
602.17,1,19,-128,-128,malla,4,LPo,1106491.0,228.0,True,True,True,2090.9692587
604.375,1,19,-128,-64,malla,0,PGAgain,999984.0,26950.0,True,True,False,-30.19220119999926
605.027,1,19,-128,-64,malla,1,BPo,971355.0,34008.0,True,True,False,-600.3587764999996
605.676,1,19,-128,-64,malla,2,OPA_SUMo,956840.0,2651.0,True,True,False,-889.4351619999994
606.327,1,19,-128,-64,malla,3,SUMo,957145.0,2841.0,True,True,False,-883.3608735000004
606.978,1,19,-128,-64,malla,4,LPo,1083164.0,9860.0,True,True,False,1626.3957248
609.184,1,19,-128,0,malla,0,PGAgain,1000270.0,25501.0,True,True,False,-24.496311000000365
609.835,1,19,-128,0,malla,1,BPo,971832.0,36144.0,True,True,False,-590.8589876000002
610.488,1,19,-128,0,malla,2,OPA_SUMo,973548.0,2822.0,True,True,False,-556.6836464
611.139,1,19,-128,0,malla,3,SUMo,973510.0,2861.0,True,True,False,-557.4404430000002
611.788,1,19,-128,0,malla,4,LPo,1002826.0,9593.0,True,True,False,26.408218200000437
613.993,1,19,-128,64,malla,0,PGAgain,1000938.0,23975.0,True,True,False,-11.192623400000237
614.643,1,19,-128,64,malla,1,BPo,972175.0,29754.0,True,True,False,-584.0279025000009
615.293,1,19,-128,64,malla,2,OPA_SUMo,989456.0,2422.0,True,True,False,-239.86469079999966
615.944,1,19,-128,64,malla,3,SUMo,989151.0,2593.0,True,True,False,-245.93897930000094
616.593,1,19,-128,64,malla,4,LPo,885009.0,26073.0,True,True,False,-2319.9998087
618.796,1,19,-128,128,malla,0,PGAgain,1001167.0,17375.0,True,True,False,-6.631928099999403
619.446,1,19,-128,128,malla,1,BPo,972537.0,29106.0,True,True,False,-576.8184190999993
620.093,1,19,-128,128,malla,2,OPA_SUMo,1004714.0,2384.0,True,True,False,64.00905980000111
620.744,1,19,-128,128,malla,3,SUMo,1004371.0,2193.0,True,True,False,57.17797469999962
621.391,1,19,-128,128,malla,4,LPo,731849.0,286.0,True,False,True,-5370.2884207
625.549,1,19,-128,255,malla,0,PGAgain,1001129.0,18844.0,True,True,False,-7.38872469999962
626.197,1,19,-128,255,malla,1,BPo,972728.0,29582.0,True,True,False,-573.014520400001
626.847,1,19,-128,255,malla,2,OPA_SUMo,1034927.0,2346.0,True,True,False,665.7221038999982
627.5,1,19,-128,255,malla,3,SUMo,1034526.0,1888.0,True,True,False,657.7359082000014
628.15,1,19,-128,255,malla,4,LPo,731849.0,267.0,True,False,True,-5370.2884207
630.354,1,19,-128,120,fino,0,PGAgain,1000709.0,26550.0,True,True,False,-15.753318700001069
631.004,1,19,-128,120,fino,1,BPo,973072.0,30097.0,True,True,False,-566.1635196
631.654,1,19,-128,120,fino,2,OPA_SUMo,999336.0,2651.0,True,True,False,-43.09757479999975
632.304,1,19,-128,120,fino,3,SUMo,998954.0,2536.0,True,True,False,-50.70537220000098
632.954,1,19,-128,120,fino,4,LPo,737438.0,17051.0,True,False,False,-5258.979573400001
635.157,1,19,-128,124,fino,0,PGAgain,1000747.0,20523.0,True,True,False,-14.996522100000853
635.809,1,19,-128,124,fino,1,BPo,973377.0,26607.0,True,True,False,-560.0892311000009
636.46,1,19,-128,124,fino,2,OPA_SUMo,999565.0,2231.0,True,True,False,-38.53687949999892
637.111,1,19,-128,124,fino,3,SUMo,999279.0,2117.0,True,True,False,-44.23276970000008
637.761,1,19,-128,124,fino,4,LPo,731849.0,305.0,True,False,False,-5370.2884207
639.964,1,19,-128,126,fino,0,PGAgain,1000976.0,21800.0,True,True,False,-10.435826800000019
644.073,1,19,-128,126,fino,1,BPo,974330.0,23803.0,True,True,False,-541.1095689999992
645.338,1,19,-128,126,fino,2,OPA_SUMo,999641.0,2212.0,True,True,False,-37.02328630000074
645.989,1,19,-128,126,fino,3,SUMo,999336.0,2079.0,True,True,False,-43.09757479999975
646.641,1,19,-128,126,fino,4,LPo,731849.0,247.0,True,False,True,-5370.2884207
648.845,1,19,-128,128,fino,0,PGAgain,1001224.0,23765.0,True,True,False,-5.496733199999077
649.498,1,19,-128,128,fino,1,BPo,973873.0,25672.0,True,True,False,-550.2110438999991
650.149,1,19,-128,128,fino,2,OPA_SUMo,999565.0,2746.0,True,True,False,-38.53687949999892
650.798,1,19,-128,128,fino,3,SUMo,999279.0,1983.0,True,True,False,-44.23276970000008
651.447,1,19,-128,128,fino,4,LPo,731830.0,286.0,True,False,True,-5370.666818999999
653.652,1,19,-128,130,fino,0,PGAgain,1000804.0,26264.0,True,True,False,-13.861327200000526
654.299,1,19,-128,130,fino,1,BPo,974235.0,27770.0,True,True,False,-543.0015604999998
654.95,1,19,-128,130,fino,2,OPA_SUMo,999565.0,2250.0,True,True,False,-38.53687949999892
655.601,1,19,-128,130,fino,3,SUMo,999336.0,2059.0,True,True,False,-43.09757479999975
656.251,1,19,-128,130,fino,4,LPo,731868.0,286.0,True,False,True,-5369.910022399999
658.456,1,19,-128,132,fino,0,PGAgain,1000690.0,23097.0,True,True,False,-16.131716999998915
659.107,1,19,-128,132,fino,1,BPo,973720.0,25653.0,True,True,False,-553.2581459999994
663.275,1,19,-128,132,fino,2,OPA_SUMo,999755.0,2231.0,True,True,False,-34.75289650000009
664.537,1,19,-128,132,fino,3,SUMo,1000022.0,2403.0,True,True,False,-29.435404599999043
665.188,1,19,-128,132,fino,4,LPo,731868.0,247.0,True,False,True,-5369.910022399999
667.393,1,19,-128,136,fino,0,PGAgain,1000633.0,18615.0,True,True,False,-17.26691189999924
668.042,1,19,-128,136,fino,1,BPo,974216.0,26683.0,True,True,False,-543.3799587999998
668.692,1,19,-128,136,fino,2,OPA_SUMo,1000900.0,2117.0,True,True,False,-11.949420000000453
669.34,1,19,-128,136,fino,3,SUMo,1000614.0,1811.0,True,True,False,-17.645310199999347
673.508,1,19,-128,136,fino,4,LPo,731849.0,267.0,True,False,True,-5370.2884207
764.876,1,19,-64,0,referencia,0,PGAgain,1000442.0,16345.0,True,True,False,-21.070810599999856
765.527,1,19,-64,0,referencia,1,BPo,977821.0,27065.0,True,True,False,-471.5838602999995
766.179,1,19,-64,0,referencia,2,OPA_SUMo,949668.0,2498.0,True,True,False,-1032.2705624
766.829,1,19,-64,0,referencia,3,SUMo,949840.0,3108.0,True,True,False,-1028.8450619999994
767.478,1,19,-64,0,referencia,4,LPo,1054115.0,9746.0,True,True,False,1047.8645555000003
769.683,1,19,-64,-255,malla,0,PGAgain,999584.0,22659.0,True,True,False,-38.15848120000107
770.331,1,19,-64,-255,malla,1,BPo,979156.0,19340.0,True,True,False,-444.996400800001
770.982,1,19,-64,-255,malla,2,OPA_SUMo,793151.0,4768.0,True,False,False,-4149.416179300001
775.051,1,19,-64,-255,malla,3,SUMo,791416.0,5855.0,True,False,False,-4183.9699187999995
776.316,1,19,-64,-255,malla,4,LPo,1106472.0,267.0,True,True,True,2090.5908603999997
778.522,1,19,-64,-128,malla,0,PGAgain,999317.0,24776.0,True,True,False,-43.475973099999855
779.17,1,19,-64,-128,malla,1,BPo,979251.0,18291.0,True,True,False,-443.1044093000005
779.822,1,19,-64,-128,malla,2,OPA_SUMo,874481.0,6065.0,True,False,False,-2529.6722983000004
780.47,1,19,-64,-128,malla,3,SUMo,876102.0,5340.0,True,False,False,-2497.3889486000007
781.123,1,19,-64,-128,malla,4,LPo,1106472.0,171.0,True,True,True,2090.5908603999997
783.328,1,19,-64,-64,malla,0,PGAgain,999317.0,18329.0,True,True,False,-43.475973099999855
783.979,1,19,-64,-64,malla,1,BPo,978393.0,24871.0,True,True,False,-460.19207989999944
784.63,1,19,-64,-64,malla,2,OPA_SUMo,914916.0,5340.0,True,True,False,-1724.380968799999
785.281,1,19,-64,-64,malla,3,SUMo,916042.0,3776.0,True,True,False,-1701.9558905999995
785.931,1,19,-64,-64,malla,4,LPo,1106491.0,267.0,True,True,True,2090.9692587
788.135,1,19,-64,0,malla,0,PGAgain,999889.0,26493.0,True,True,False,-32.084192699999804
788.784,1,19,-64,0,malla,1,BPo,978317.0,24414.0,True,True,False,-461.7056730999999
789.435,1,19,-64,0,malla,2,OPA_SUMo,947799.0,3070.0,True,True,False,-1069.4930057000006
790.084,1,19,-64,0,malla,3,SUMo,948009.0,3681.0,True,True,False,-1065.3107086999999
794.214,1,19,-64,0,malla,4,LPo,1051406.0,9841.0,True,True,False,993.912924199999
797.028,1,19,-64,64,malla,0,PGAgain,1000766.0,18730.0,True,True,False,-14.618123800000744
797.677,1,19,-64,64,malla,1,BPo,977993.0,19493.0,True,True,False,-468.15835989999897
798.326,1,19,-64,64,malla,2,OPA_SUMo,967025.0,2346.0,True,True,False,-686.5937575000005
798.976,1,19,-64,64,malla,3,SUMo,966892.0,2098.0,True,True,False,-689.242545599999
799.626,1,19,-64,64,malla,4,LPo,970172.0,8735.0,True,True,False,-623.9190495999995
801.832,1,19,-64,128,malla,0,PGAgain,1001262.0,20790.0,True,True,False,-4.739936600001124
805.896,1,19,-64,128,malla,1,BPo,978317.0,28247.0,True,True,False,-461.7056730999999
807.158,1,19,-64,128,malla,2,OPA_SUMo,982303.0,2498.0,True,True,False,-382.3216929000001
807.811,1,19,-64,128,malla,3,SUMo,982017.0,1907.0,True,True,False,-388.01758309999894
808.461,1,19,-64,128,malla,4,LPo,807552.0,26092.0,True,False,False,-3862.6101836
810.667,1,19,-64,255,malla,0,PGAgain,1001625.0,24814.0,True,True,False,2.4894625
811.32,1,19,-64,255,malla,1,BPo,978240.0,28457.0,True,True,False,-463.23918199999986
811.971,1,19,-64,255,malla,2,OPA_SUMo,1013641.0,2613.0,True,True,False,241.79651369999928
816.039,1,19,-64,255,malla,3,SUMo,1013240.0,2670.0,True,True,False,233.8103180000002
817.301,1,19,-64,255,malla,4,LPo,731868.0,286.0,True,False,True,-5369.910022399999
819.506,1,19,-64,247,fino,0,PGAgain,1001510.0,27332.0,True,True,False,0.19915699999981887
820.156,1,19,-64,247,fino,1,BPo,979080.0,26226.0,True,True,False,-446.5099939999992
820.803,1,19,-64,247,fino,2,OPA_SUMo,1010150.0,1792.0,True,True,False,172.27080499999957
821.455,1,19,-64,247,fino,3,SUMo,1009769.0,2536.0,True,True,False,164.6829233000001
822.105,1,19,-64,247,fino,4,LPo,731849.0,362.0,True,False,False,-5370.2884207
824.308,1,19,-64,251,fino,0,PGAgain,1001052.0,20027.0,True,True,False,-8.922233599999585
824.959,1,19,-64,251,fino,1,BPo,978927.0,27713.0,True,True,False,-449.5570960999996
825.609,1,19,-64,251,fino,2,OPA_SUMo,1010055.0,2574.0,True,True,False,170.378813499999
826.261,1,19,-64,251,fino,3,SUMo,1009712.0,2365.0,True,True,False,163.54772839999978
826.892,1,19,-64,251,fino,4,LPo,731945.0,267.0,True,False,True,-5368.376513499999
829.096,1,19,-64,253,fino,0,PGAgain,1001262.0,22716.0,True,True,False,-4.739936600001124
829.746,1,19,-64,253,fino,1,BPo,979270.0,30860.0,True,True,False,-442.72601100000037
830.397,1,19,-64,253,fino,2,OPA_SUMo,1009654.0,2117.0,True,True,False,162.39261779999993
831.049,1,19,-64,253,fino,3,SUMo,1009273.0,2498.0,True,True,False,154.8047361000005
835.156,1,19,-64,253,fino,4,LPo,731849.0,228.0,True,False,True,-5370.2884207
837.996,1,19,-64,255,fino,0,PGAgain,1001319.0,24852.0,True,True,False,-3.604741700000797
