t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
286.30,vigilancia,4,11,-30,-240,0,1,BPo,992507,8335,-179.1,True,False
286.95,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741996,209,-5168.2,False,True
287.60,vigilancia,4,11,-30,-240,0,3,SUMo,747871,209,-5051.2,False,True
288.25,vigilancia,4,11,-30,-240,0,4,LPo,1117267,114,2305.6,False,True
291.90,vigilancia,4,11,-30,-240,0,0,PGAgain,1021709,8640,402.5,True,False
292.55,vigilancia,4,11,-30,-240,0,1,BPo,992488,8754,-179.5,True,False
293.20,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741977,228,-5168.6,False,True
293.85,vigilancia,4,11,-30,-240,0,3,SUMo,747890,133,-5050.8,False,True
294.50,vigilancia,4,11,-30,-240,0,4,LPo,1117305,114,2306.3,False,True
298.15,vigilancia,4,11,-30,-240,0,0,PGAgain,1021308,6713,394.5,True,False
298.79,vigilancia,4,11,-30,-240,0,1,BPo,992393,8010,-181.4,True,False
299.44,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,742015,190,-5167.8,False,True
300.09,vigilancia,4,11,-30,-240,0,3,SUMo,747890,171,-5050.8,False,True
300.74,vigilancia,4,11,-30,-240,0,4,LPo,1117286,114,2306.0,False,True
304.39,vigilancia,4,11,-30,-240,0,0,PGAgain,1021022,6771,388.8,True,False
305.04,vigilancia,4,11,-30,-240,0,1,BPo,992412,8010,-181.0,True,False
305.69,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741958,190,-5169.0,False,True
306.33,vigilancia,4,11,-30,-240,0,3,SUMo,747890,209,-5050.8,False,True
306.98,vigilancia,4,11,-30,-240,0,4,LPo,1117305,114,2306.3,False,True
310.63,vigilancia,4,11,-30,-240,0,0,PGAgain,1021060,6694,389.6,True,False
311.28,vigilancia,4,11,-30,-240,0,1,BPo,992374,8602,-181.8,True,False
311.93,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741977,171,-5168.6,False,True
312.57,vigilancia,4,11,-30,-240,0,3,SUMo,747871,171,-5051.2,False,True
313.22,vigilancia,4,11,-30,-240,0,4,LPo,1117305,133,2306.3,False,True
316.87,vigilancia,4,11,-30,-240,0,0,PGAgain,1021842,7629,405.1,True,False
317.52,vigilancia,4,11,-30,-240,0,1,BPo,992603,7705,-177.2,True,False
318.17,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,742015,171,-5167.8,False,True
318.82,vigilancia,4,11,-30,-240,0,3,SUMo,747890,228,-5050.8,False,True
319.47,vigilancia,4,11,-30,-240,0,4,LPo,1117286,114,2306.0,False,True
323.12,vigilancia,4,11,-30,-240,0,0,PGAgain,1021995,7209,408.2,True,False
323.76,vigilancia,4,11,-30,-240,0,1,BPo,992450,8697,-180.2,True,False
324.41,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741958,190,-5169.0,False,True
325.06,vigilancia,4,11,-30,-240,0,3,SUMo,747756,247,-5053.5,False,True
325.71,vigilancia,4,11,-30,-240,0,4,LPo,1117267,114,2305.6,False,True
329.35,vigilancia,4,11,-30,-240,0,0,PGAgain,1021785,6866,404.0,True,False
330.00,vigilancia,4,11,-30,-240,0,1,BPo,992507,9174,-179.1,True,False
330.65,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741920,209,-5169.7,False,True
331.30,vigilancia,4,11,-30,-240,0,3,SUMo,747814,190,-5052.3,False,True
331.95,vigilancia,4,11,-30,-240,0,4,LPo,1117248,114,2305.2,False,True
335.60,vigilancia,4,11,-30,-240,0,0,PGAgain,1021919,7381,406.7,True,False
336.25,vigilancia,4,11,-30,-240,0,1,BPo,993041,9231,-168.5,True,False
336.90,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741920,209,-5169.7,False,True
337.55,vigilancia,4,11,-30,-240,0,3,SUMo,747795,152,-5052.7,False,True
338.19,vigilancia,4,11,-30,-240,0,4,LPo,1117267,95,2305.6,False,True
341.84,vigilancia,4,11,-30,-240,0,0,PGAgain,1021919,6713,406.7,True,False
342.49,vigilancia,4,11,-30,-240,0,1,BPo,992431,6828,-180.6,True,False
343.13,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741958,190,-5169.0,False,True
343.78,vigilancia,4,11,-30,-240,0,3,SUMo,747756,190,-5053.5,False,True
344.42,vigilancia,4,11,-30,-240,0,4,LPo,1117248,114,2305.2,False,True
348.07,vigilancia,4,11,-30,-240,0,0,PGAgain,1021823,6389,404.7,True,False
348.72,vigilancia,4,11,-30,-240,0,1,BPo,992469,8392,-179.9,True,False
349.37,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741958,190,-5169.0,False,True
350.02,vigilancia,4,11,-30,-240,0,3,SUMo,747814,209,-5052.3,False,True
350.67,vigilancia,4,11,-30,-240,0,4,LPo,1117267,133,2305.6,False,True
354.31,vigilancia,4,11,-30,-240,0,0,PGAgain,1021690,6599,402.1,True,False
354.97,vigilancia,4,11,-30,-240,0,1,BPo,992584,7743,-177.6,True,False
355.61,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741958,190,-5169.0,False,True
356.26,vigilancia,4,11,-30,-240,0,3,SUMo,747737,228,-5053.9,False,True
356.91,vigilancia,4,11,-30,-240,0,4,LPo,1117229,95,2304.8,False,True
360.56,vigilancia,4,11,-30,-240,0,0,PGAgain,1021862,6217,405.5,True,False
361.20,vigilancia,4,11,-30,-240,0,1,BPo,993137,8239,-166.6,True,False
361.85,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741901,171,-5170.1,False,True
362.50,vigilancia,4,11,-30,-240,0,3,SUMo,747737,209,-5053.9,False,True
363.15,vigilancia,4,11,-30,-240,0,4,LPo,1117248,114,2305.2,False,True
366.79,vigilancia,4,11,-30,-240,0,0,PGAgain,1021823,6256,404.7,True,False
367.44,vigilancia,4,11,-30,-240,0,1,BPo,992336,7324,-182.5,True,False
368.09,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741939,190,-5169.3,False,True
368.74,vigilancia,4,11,-30,-240,0,3,SUMo,747776,228,-5053.1,False,True
369.38,vigilancia,4,11,-30,-240,0,4,LPo,1117248,133,2305.2,False,True
373.03,vigilancia,4,11,-30,-240,0,0,PGAgain,1021804,6847,404.4,True,False
373.68,vigilancia,4,11,-30,-240,0,1,BPo,992546,8563,-178.3,True,False
374.33,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741863,152,-5170.9,False,True
374.98,vigilancia,4,11,-30,-240,0,3,SUMo,747737,190,-5053.9,False,True
375.63,vigilancia,4,11,-30,-240,0,4,LPo,1117248,133,2305.2,False,True
379.27,vigilancia,4,11,-30,-240,0,0,PGAgain,1021289,6618,394.1,True,False
