t_s,pasada,idac0,idac1,idac2,fase,posicion,asentamiento_incompleto,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
299.9,1,24,-192,0,referencia,,False,2,OPA_SUMo,1072423.0,274.0,True,True,True,1412.4811911000002
300.26,1,24,-192,0,referencia,,False,3,SUMo,1074417.0,264.0,True,True,True,1452.1930968999984
300.62,1,24,-192,0,referencia,,False,4,LPo,875048.0,245.0,True,False,True,-2518.3800964
302.48,1,24,-192,-255,malla,,False,0,PGAgain,1002284.0,271.0,True,True,True,15.613908799999837
302.84,1,24,-192,-255,malla,,False,1,BPo,986232.0,272.0,True,True,True,-304.0729076000006
303.2,1,24,-192,-255,malla,,False,2,OPA_SUMo,883443.0,263.0,True,True,True,-2351.1877949000004
303.56,1,24,-192,-255,malla,,False,3,SUMo,885456.0,284.0,True,True,True,-2311.0974908
303.92,1,24,-192,-255,malla,,False,4,LPo,875000.0,251.0,True,False,True,-2519.3360500000003
305.78,1,24,-192,-128,malla,,False,0,PGAgain,1002298.0,312.0,True,True,False,15.892728600000037
306.14,1,24,-192,-128,malla,,False,1,BPo,986100.0,262.0,True,True,True,-306.7017799999996
306.5,1,24,-192,-128,malla,,False,2,OPA_SUMo,977531.0,284.0,True,True,True,-477.35941330000105
306.86,1,24,-192,-128,malla,,False,3,SUMo,979537.0,280.0,True,True,True,-437.40851909999935
307.22,1,24,-192,-128,malla,,False,4,LPo,875000.0,250.0,True,False,True,-2519.3360500000003
309.08,1,24,-192,-64,malla,,False,0,PGAgain,1002309.0,253.0,True,True,True,16.111801299999385
309.44,1,24,-192,-64,malla,,False,1,BPo,986242.0,283.0,True,True,True,-303.8737506000008
309.8,1,24,-192,-64,malla,,False,2,OPA_SUMo,1024915.0,259.0,True,True,True,466.3261154999993
310.16,1,24,-192,-64,malla,,False,3,SUMo,1027021.0,253.0,True,True,True,508.2685796999992
310.52,1,24,-192,-64,malla,,False,4,LPo,875000.0,262.0,True,False,True,-2519.3360500000003
312.38,1,24,-192,0,malla,,False,0,PGAgain,1002331.0,286.0,True,True,True,16.549946700000344
312.74,1,24,-192,0,malla,,False,1,BPo,986199.0,263.0,True,True,True,-304.7301257000009
313.1,1,24,-192,0,malla,,False,2,OPA_SUMo,1072394.0,287.0,True,True,True,1411.9036358
313.46,1,24,-192,0,malla,,False,3,SUMo,1074368.0,275.0,True,True,True,1451.2172275999988
313.82,1,24,-192,0,malla,,False,4,LPo,875009.0,282.0,True,False,True,-2519.1568087
315.68,1,24,-192,64,malla,,False,0,PGAgain,1002313.0,272.0,True,True,True,16.191464099999767
316.04,1,24,-192,64,malla,,False,1,BPo,986157.0,309.0,True,True,False,-305.56658509999926
316.4,1,24,-192,64,malla,,False,2,OPA_SUMo,1119827.0,259.0,True,True,True,2356.5650339
316.76,1,24,-192,64,malla,,False,3,SUMo,1121819.0,272.0,True,True,True,2396.2371082999994
317.12,1,24,-192,64,malla,,False,4,LPo,875000.0,288.0,True,False,True,-2519.3360500000003
318.98,1,24,-192,128,malla,,False,0,PGAgain,1002322.0,255.0,True,True,True,16.370705400000055
319.34,1,24,-192,128,malla,,False,1,BPo,986200.0,246.0,True,True,True,-304.7102099999991
319.7,1,24,-192,128,malla,,False,2,OPA_SUMo,1128000.0,244.0,True,False,True,2519.3360500000003
320.06,1,24,-192,128,malla,,False,3,SUMo,1128000.0,281.0,True,False,True,2519.3360500000003
320.42,1,24,-192,128,malla,,False,4,LPo,875000.0,262.0,True,False,True,-2519.3360500000003
322.28,1,24,-192,255,malla,,False,0,PGAgain,1002248.0,259.0,True,True,True,14.896943600000943
322.64,1,24,-192,255,malla,,False,1,BPo,986194.0,250.0,True,True,True,-304.82970420000083
323.0,1,24,-192,255,malla,,False,2,OPA_SUMo,1128000.0,259.0,True,False,True,2519.3360500000003
323.36,1,24,-192,255,malla,,False,3,SUMo,1128000.0,267.0,True,False,True,2519.3360500000003
323.72,1,24,-192,255,malla,,False,4,LPo,875038.0,243.0,True,False,True,-2518.5792533999997
325.58,1,24,-192,-72,abba,A1,False,0,PGAgain,1002304.0,275.0,True,True,True,16.012222799999474
325.94,1,24,-192,-72,abba,A1,False,1,BPo,986256.0,259.0,True,True,True,-303.59493080000055
326.3,1,24,-192,-72,abba,A1,False,2,OPA_SUMo,1019021.0,273.0,True,True,True,348.94297969999917
326.66,1,24,-192,-72,abba,A1,False,3,SUMo,1021002.0,279.0,True,True,True,388.3959813999991
327.02,1,24,-192,-72,abba,A1,False,4,LPo,875012.0,255.0,True,False,True,-2519.0970616000013
328.88,1,24,-192,-56,abba,B1,False,0,PGAgain,1002273.0,276.0,True,True,True,15.39483610000049
329.24,1,24,-192,-56,abba,B1,False,1,BPo,986206.0,269.0,True,True,True,-304.59071579999966
329.6,1,24,-192,-56,abba,B1,False,2,OPA_SUMo,1030834.0,253.0,True,True,True,584.2071438000012
329.96,1,24,-192,-56,abba,B1,False,3,SUMo,1032933.0,257.0,True,True,True,626.0101980999999
330.32,1,24,-192,-56,abba,B1,False,4,LPo,875001.0,281.0,True,False,True,-2519.3161343000006
332.18,1,24,-192,-56,abba,B2,False,0,PGAgain,1002318.0,289.0,True,True,True,16.291042599999674
332.54,1,24,-192,-56,abba,B2,False,1,BPo,986184.0,257.0,True,True,True,-305.0288612000006
332.9,1,24,-192,-56,abba,B2,False,2,OPA_SUMo,1030850.0,288.0,True,True,True,584.5257949999982
333.26,1,24,-192,-56,abba,B2,False,3,SUMo,1032926.0,246.0,True,True,True,625.8707881999986
333.62,1,24,-192,-56,abba,B2,False,4,LPo,875019.0,244.0,True,False,True,-2518.9576517
335.48,1,24,-192,-72,abba,A2,False,0,PGAgain,1002225.0,270.0,True,True,True,14.438882500000453
335.84,1,24,-192,-72,abba,A2,False,1,BPo,986205.0,262.0,True,True,True,-304.6106314999992
336.2,1,24,-192,-72,abba,A2,False,2,OPA_SUMo,1019027.0,249.0,True,True,True,349.0624739000009
336.56,1,24,-192,-72,abba,A2,False,3,SUMo,1020996.0,266.0,True,True,True,388.2764871999996
336.92,1,24,-192,-72,abba,A2,False,4,LPo,875029.0,258.0,True,False,True,-2518.7584947
338.78,1,24,-192,-68,abba,A1,False,0,PGAgain,1002258.0,277.0,True,True,True,15.096100600000762
339.14,1,24,-192,-68,abba,A1,False,1,BPo,986144.0,251.0,True,True,True,-305.82548919999994
339.5,1,24,-192,-68,abba,A1,False,2,OPA_SUMo,1022059.0,261.0,True,True,True,409.4468762999994
339.86,1,24,-192,-68,abba,A1,False,3,SUMo,1024016.0,284.0,True,True,True,448.42190120000157
340.22,1,24,-192,-68,abba,A1,False,4,LPo,875057.0,262.0,True,False,True,-2518.2008551
342.08,1,24,-192,-60,abba,B1,False,0,PGAgain,1002364.0,272.0,True,True,True,17.207164800000655
342.44,1,24,-192,-60,abba,B1,False,1,BPo,986214.0,254.0,True,True,True,-304.43139019999893
342.8,1,24,-192,-60,abba,B1,False,2,OPA_SUMo,1027929.0,261.0,True,True,True,526.3520353000017
343.16,1,24,-192,-60,abba,B1,False,3,SUMo,1029915.0,253.0,True,True,True,565.9046154999993
343.52,1,24,-192,-60,abba,B1,False,4,LPo,875018.0,300.0,True,False,False,-2518.9775673999998
345.38,1,24,-192,-60,abba,B2,False,0,PGAgain,1002317.0,256.0,True,True,True,16.271126900000144
345.74,1,24,-192,-60,abba,B2,False,1,BPo,986172.0,256.0,True,True,True,-305.2678495999995
346.1,1,24,-192,-60,abba,B2,False,2,OPA_SUMo,1027941.0,245.0,True,True,True,526.5910237000006
346.46,1,24,-192,-60,abba,B2,False,3,SUMo,1029962.0,277.0,True,True,True,566.8406533999998
346.82,1,24,-192,-60,abba,B2,False,4,LPo,875000.0,280.0,True,False,True,-2519.3360500000003
348.68,1,24,-192,-68,abba,A2,False,0,PGAgain,1002310.0,260.0,True,True,True,16.131716999998915
349.04,1,24,-192,-68,abba,A2,False,1,BPo,986178.0,288.0,True,True,True,-305.14835540000007
349.4,1,24,-192,-68,abba,A2,False,2,OPA_SUMo,1022054.0,267.0,True,True,True,409.3472977999995
349.76,1,24,-192,-68,abba,A2,False,3,SUMo,1023968.0,241.0,True,True,True,447.46594759999925
350.12,1,24,-192,-68,abba,A2,False,4,LPo,875051.0,288.0,True,False,True,-2518.320349299999
351.98,1,24,-192,-66,abba,A1,False,0,PGAgain,1002245.0,264.0,True,True,True,14.837196500000092
352.34,1,24,-192,-66,abba,A1,False,1,BPo,986213.0,279.0,True,True,True,-304.4513059000007
352.7,1,24,-192,-66,abba,A1,False,2,OPA_SUMo,1023480.0,255.0,True,True,True,437.74708600000037
353.06,1,24,-192,-66,abba,A1,False,3,SUMo,1025387.0,279.0,True,True,True,475.7263258999989
353.42,1,24,-192,-66,abba,A1,False,4,LPo,875014.0,245.0,True,False,True,-2519.0572302
355.28,1,24,-192,-62,abba,B1,False,0,PGAgain,1002268.0,270.0,True,True,True,15.29525760000058
355.64,1,24,-192,-62,abba,B1,False,1,BPo,986179.0,269.0,True,True,True,-305.12843970000057
356.0,1,24,-192,-62,abba,B1,False,2,OPA_SUMo,1026431.0,245.0,True,True,True,496.5183167000008
356.36,1,24,-192,-62,abba,B1,False,3,SUMo,1028421.0,270.0,True,True,True,536.150559700001
356.72,1,24,-192,-62,abba,B1,False,4,LPo,875008.0,263.0,True,False,True,-2519.1767243999993
358.58,1,24,-192,-62,abba,B2,False,0,PGAgain,1002317.0,252.0,True,True,True,16.271126900000144
358.94,1,24,-192,-62,abba,B2,False,1,BPo,986188.0,259.0,True,True,True,-304.9491984000002
359.3,1,24,-192,-62,abba,B2,False,2,OPA_SUMo,1026460.0,256.0,True,True,True,497.0958720000007
359.66,1,24,-192,-62,abba,B2,False,3,SUMo,1028484.0,271.0,True,True,True,537.4052487999985
360.02,1,24,-192,-62,abba,B2,False,4,LPo,875007.0,264.0,True,False,True,-2519.1966401000013
361.88,1,24,-192,-66,abba,A2,False,0,PGAgain,1002288.0,272.0,True,True,True,15.693571600000219
362.24,1,24,-192,-66,abba,A2,False,1,BPo,986193.0,256.0,True,True,True,-304.84961990000033
362.6,1,24,-192,-66,abba,A2,False,2,OPA_SUMo,1023485.0,275.0,True,True,True,437.8466645000003
362.96,1,24,-192,-66,abba,A2,False,3,SUMo,1025476.0,252.0,True,True,True,477.4988232000023
363.32,1,24,-192,-66,abba,A2,False,4,LPo,875011.0,245.0,True,False,True,-2519.1169773000006
428.0,1,24,-128,0,referencia,,False,0,PGAgain,1002251.0,301.0,True,True,False,14.95669069999953
428.36,1,24,-128,0,referencia,,False,1,BPo,991970.0,262.0,True,True,True,-189.79662099999948
428.72,1,24,-128,0,referencia,,False,2,OPA_SUMo,1049381.0,274.0,True,True,True,953.5836317000018
429.08,1,24,-128,0,referencia,,False,3,SUMo,1051352.0,251.0,True,True,True,992.8374764000018
429.44,1,24,-128,0,referencia,,False,4,LPo,875000.0,277.0,True,False,True,-2519.3360500000003
431.3,1,24,-128,-255,malla,,False,0,PGAgain,1002315.0,280.0,True,True,True,16.23129550000109
431.66,1,24,-128,-255,malla,,False,1,BPo,991982.0,285.0,True,True,True,-189.5576326000006
432.02,1,24,-128,-255,malla,,False,2,OPA_SUMo,875000.0,255.0,True,False,True,-2519.3360500000003
432.38,1,24,-128,-255,malla,,False,3,SUMo,875000.0,253.0,True,False,True,-2519.3360500000003
432.74,1,24,-128,-255,malla,,False,4,LPo,875049.0,246.0,True,False,True,-2518.3601807000005
434.6,1,24,-128,-128,malla,,False,0,PGAgain,1002281.0,260.0,True,True,True,15.554161699998987
434.96,1,24,-128,-128,malla,,False,1,BPo,991903.0,247.0,True,True,True,-191.13097289999962
435.32,1,24,-128,-128,malla,,False,2,OPA_SUMo,954482.0,262.0,True,True,True,-936.3963826000006
435.68,1,24,-128,-128,malla,,False,3,SUMo,956482.0,271.0,True,True,True,-896.5649826000006
436.04,1,24,-128,-128,malla,,False,4,LPo,875000.0,263.0,True,False,True,-2519.3360500000003
437.9,1,24,-128,-64,malla,,False,0,PGAgain,1002345.0,282.0,True,True,True,16.828766500000544
438.26,1,24,-128,-64,malla,,False,1,BPo,991930.0,268.0,True,True,True,-190.593249000001
438.62,1,24,-128,-64,malla,,False,2,OPA_SUMo,1001979.0,277.0,True,True,True,9.539620300000834
438.98,1,24,-128,-64,malla,,False,3,SUMo,1003878.0,246.0,True,True,True,47.359534600000856
439.34,1,24,-128,-64,malla,,False,4,LPo,875016.0,258.0,True,False,True,-2519.017398800001
441.2,1,24,-128,0,malla,,False,0,PGAgain,1002249.0,251.0,True,True,True,14.916859300000471
441.56,1,24,-128,0,malla,,False,1,BPo,991940.0,290.0,True,True,True,-190.39409199999892
441.92,1,24,-128,0,malla,,False,2,OPA_SUMo,1049372.0,260.0,True,True,True,953.4043904000015
