t_s,bloque,repeticion,pgaout,orden,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref,codigos_idac
126.6,CONTROL,17,1,0-1-2-3-4,1,BPo,1003453.0,244.0,True,True,True,38.895362099999495,"[12, 0, 0, 0]"
126.96,CONTROL,17,1,0-1-2-3-4,2,OPA_SUMo,1009239.0,293.0,True,True,True,154.12760230000066,"[12, 0, 0, 0]"
127.32,CONTROL,17,1,0-1-2-3-4,3,SUMo,1011291.0,252.0,True,True,True,194.99461870000107,"[12, 0, 0, 0]"
127.68,CONTROL,17,1,0-1-2-3-4,4,LPo,875045.0,255.0,True,False,True,-2518.4398435000007,"[12, 0, 0, 0]"
128.04,CONTROL,18,1,4-3-2-1-0,4,LPo,875000.0,243.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
128.4,CONTROL,18,1,4-3-2-1-0,3,SUMo,1011192.0,245.0,True,True,True,193.02296440000015,"[12, 0, 0, 0]"
128.76,CONTROL,18,1,4-3-2-1-0,2,OPA_SUMo,1009203.0,261.0,True,True,True,153.4106370999995,"[12, 0, 0, 0]"
129.12,CONTROL,18,1,4-3-2-1-0,1,BPo,1003470.0,269.0,True,True,True,39.23392900000054,"[12, 0, 0, 0]"
129.48,CONTROL,18,1,4-3-2-1-0,0,PGAgain,1001456.0,264.0,True,True,True,-0.8762907999996559,"[12, 0, 0, 0]"
129.84,CONTROL,19,1,0-1-2-3-4,0,PGAgain,1001524.0,266.0,True,True,True,0.47797680000001813,"[12, 0, 0, 0]"
130.2,CONTROL,19,1,0-1-2-3-4,1,BPo,1003501.0,293.0,True,True,True,39.85131569999953,"[12, 0, 0, 0]"
130.56,CONTROL,19,1,0-1-2-3-4,2,OPA_SUMo,1009221.0,265.0,True,True,True,153.7691197000001,"[12, 0, 0, 0]"
130.92,CONTROL,19,1,0-1-2-3-4,3,SUMo,1011203.0,257.0,True,True,True,193.2420370999995,"[12, 0, 0, 0]"
131.28,CONTROL,19,1,0-1-2-3-4,4,LPo,875061.0,249.0,True,False,True,-2518.1211922999996,"[12, 0, 0, 0]"
131.64,CONTROL,20,1,4-3-2-1-0,4,LPo,875044.0,261.0,True,False,True,-2518.4597592000005,"[12, 0, 0, 0]"
