t_s,pasada,idac0,idac1,idac2,fase,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
328.88,1,12,-192,0,referencia,3,SUMo,1080165.0,257.0,True,True,True,1566.6685404999994
329.24,1,12,-192,0,referencia,4,LPo,875000.0,242.0,True,False,True,-2519.3360500000003
331.1,1,12,-192,-255,malla,0,PGAgain,1001525.0,244.0,True,True,True,0.4978924999995472
331.46,1,12,-192,-255,malla,1,BPo,986172.0,293.0,True,True,True,-305.2678495999995
331.82,1,12,-192,-255,malla,2,OPA_SUMo,889168.0,252.0,True,True,True,-2237.1704124
332.18,1,12,-192,-255,malla,3,SUMo,891188.0,255.0,True,True,True,-2196.9406984
332.54,1,12,-192,-255,malla,4,LPo,875000.0,243.0,True,False,True,-2519.3360500000003
334.4,1,12,-192,-128,malla,0,PGAgain,1001501.0,245.0,True,True,True,0.01991569999952906
334.76,1,12,-192,-128,malla,1,BPo,986141.0,261.0,True,True,True,-305.88523630000077
335.12,1,12,-192,-128,malla,2,OPA_SUMo,983233.0,269.0,True,True,True,-363.80009190000106
335.48,1,12,-192,-128,malla,3,SUMo,985189.0,264.0,True,True,True,-324.84498270000074
335.84,1,12,-192,-128,malla,4,LPo,875000.0,266.0,True,False,True,-2519.3360500000003
337.7,1,12,-192,-64,malla,0,PGAgain,1001574.0,293.0,True,True,True,1.4737617999991126
338.06,1,12,-192,-64,malla,1,BPo,986164.0,265.0,True,True,True,-305.42717520000025
338.42,1,12,-192,-64,malla,2,OPA_SUMo,1030640.0,257.0,True,True,True,580.343498000002
338.78,1,12,-192,-64,malla,3,SUMo,1032755.0,249.0,True,True,True,622.4652035000022
339.14,1,12,-192,-64,malla,4,LPo,875044.0,261.0,True,False,True,-2518.4597592000005
341.0,1,12,-192,0,malla,0,PGAgain,1001599.0,248.0,True,True,True,1.971654300000924
341.36,1,12,-192,0,malla,1,BPo,986241.0,263.0,True,True,True,-303.8936663000003
341.72,1,12,-192,0,malla,2,OPA_SUMo,1078058.0,254.0,True,True,True,1524.7061606
342.08,1,12,-192,0,malla,3,SUMo,1080084.0,252.0,True,True,True,1565.0553688000014
342.44,1,12,-192,0,malla,4,LPo,875052.0,249.0,True,False,True,-2518.3004336
344.3,1,12,-192,64,malla,0,PGAgain,1001541.0,274.0,True,True,True,0.8165437000010687
344.66,1,12,-192,64,malla,1,BPo,986273.0,272.0,True,True,True,-303.25636389999954
345.02,1,12,-192,64,malla,2,OPA_SUMo,1125560.0,263.0,True,False,True,2470.7417419999992
345.38,1,12,-192,64,malla,3,SUMo,1127513.0,246.0,True,False,True,2509.6371040999984
345.74,1,12,-192,64,malla,4,LPo,875006.0,269.0,True,False,True,-2519.2165558000006
347.6,1,12,-192,128,malla,0,PGAgain,1001515.0,266.0,True,True,True,0.2987354999997283
347.96,1,12,-192,128,malla,1,BPo,986128.0,271.0,True,True,True,-306.1441403999992
348.32,1,12,-192,128,malla,2,OPA_SUMo,1128000.0,259.0,True,False,True,2519.3360500000003
348.68,1,12,-192,128,malla,3,SUMo,1128000.0,263.0,True,False,True,2519.3360500000003
349.04,1,12,-192,128,malla,4,LPo,875021.0,260.0,True,False,True,-2518.917820300001
350.9,1,12,-192,255,malla,0,PGAgain,1001614.0,253.0,True,True,True,2.270389800000652
351.26,1,12,-192,255,malla,1,BPo,986161.0,242.0,True,True,True,-305.48692230000114
351.62,1,12,-192,255,malla,2,OPA_SUMo,1128000.0,273.0,True,False,True,2519.3360500000003
351.98,1,12,-192,255,malla,3,SUMo,1128000.0,262.0,True,False,True,2519.3360500000003
352.34,1,12,-192,255,malla,4,LPo,875059.0,256.0,True,False,True,-2518.161023700001
354.2,1,12,-192,-136,fino,0,PGAgain,1001608.0,249.0,True,True,True,2.1508955999989494
354.56,1,12,-192,-136,fino,1,BPo,986211.0,258.0,True,True,True,-304.49113729999976
354.92,1,12,-192,-136,fino,2,OPA_SUMo,977315.0,258.0,True,True,True,-481.6612044999989
355.28,1,12,-192,-136,fino,3,SUMo,979329.0,262.0,True,True,True,-441.550984700001
355.64,1,12,-192,-136,fino,4,LPo,875001.0,262.0,True,False,True,-2519.3161343000006
357.5,1,12,-192,-132,fino,0,PGAgain,1001613.0,253.0,True,True,True,2.250474100001123
357.86,1,12,-192,-132,fino,1,BPo,986173.0,253.0,True,True,True,-305.24793389999996
358.22,1,12,-192,-132,fino,2,OPA_SUMo,980305.0,261.0,True,True,True,-422.11326150000104
358.58,1,12,-192,-132,fino,3,SUMo,982316.0,259.0,True,True,True,-382.0627887999994
358.94,1,12,-192,-132,fino,4,LPo,875029.0,265.0,True,False,True,-2518.7584947
360.8,1,12,-192,-130,fino,0,PGAgain,1001597.0,282.0,True,True,True,1.9318228999996017
361.16,1,12,-192,-130,fino,1,BPo,986182.0,271.0,True,True,True,-305.0686925999997
361.52,1,12,-192,-130,fino,2,OPA_SUMo,981826.0,269.0,True,True,True,-391.82148179999956
361.88,1,12,-192,-130,fino,3,SUMo,983830.0,252.0,True,True,True,-351.9104189999992
362.24,1,12,-192,-130,fino,4,LPo,875000.0,260.0,True,False,True,-2519.3360500000003
364.1,1,12,-192,-128,fino,0,PGAgain,1001580.0,263.0,True,True,True,1.5932560000008151
364.46,1,12,-192,-128,fino,1,BPo,986203.0,247.0,True,True,True,-304.65046290000055
364.82,1,12,-192,-128,fino,2,OPA_SUMo,983281.0,257.0,True,True,True,-362.844138300001
365.18,1,12,-192,-128,fino,3,SUMo,985261.0,252.0,True,True,True,-323.4110523000007
365.54,1,12,-192,-128,fino,4,LPo,875002.0,266.0,True,False,True,-2519.296218600001
367.4,1,12,-192,-126,fino,0,PGAgain,1001576.0,277.0,True,True,True,1.5135932000004348
367.76,1,12,-192,-126,fino,1,BPo,986214.0,260.0,True,True,True,-304.43139019999893
368.12,1,12,-192,-126,fino,2,OPA_SUMo,984773.0,257.0,True,True,True,-333.1299138999995
368.48,1,12,-192,-126,fino,3,SUMo,986704.0,244.0,True,True,True,-294.672697200001
368.84,1,12,-192,-126,fino,4,LPo,875008.0,259.0,True,False,True,-2519.1767243999993
370.7,1,12,-192,-124,fino,0,PGAgain,1001588.0,255.0,True,True,True,1.7525815999993117
371.06,1,12,-192,-124,fino,1,BPo,986162.0,262.0,True,True,True,-305.4670065999993
371.42,1,12,-192,-124,fino,2,OPA_SUMo,986197.0,264.0,True,True,True,-304.76995709999994
371.78,1,12,-192,-124,fino,3,SUMo,988192.0,259.0,True,True,True,-265.03813559999986
372.14,1,12,-192,-124,fino,4,LPo,875000.0,259.0,True,False,True,-2519.3360500000003
374.0,1,12,-192,-120,fino,0,PGAgain,1001551.0,254.0,True,True,True,1.0157007000008875
374.36,1,12,-192,-120,fino,1,BPo,986189.0,248.0,True,True,True,-304.9292827000007
374.72,1,12,-192,-120,fino,2,OPA_SUMo,989169.0,262.0,True,True,True,-245.58049670000037
375.08,1,12,-192,-120,fino,3,SUMo,991240.0,269.0,True,True,True,-204.33508199999983
375.44,1,12,-192,-120,fino,4,LPo,875028.0,254.0,True,False,True,-2518.7784103999998
465.8,1,12,-128,0,referencia,0,PGAgain,1001580.0,278.0,True,True,True,1.5932560000008151
466.16,1,12,-128,0,referencia,1,BPo,991972.0,277.0,True,True,True,-189.75678960000042
466.52,1,12,-128,0,referencia,2,OPA_SUMo,1055020.0,242.0,True,True,True,1065.8882639999997
466.88,1,12,-128,0,referencia,3,SUMo,1057107.0,272.0,True,True,True,1107.4523298999995
467.24,1,12,-128,0,referencia,4,LPo,875000.0,281.0,True,False,True,-2519.3360500000003
469.1,1,12,-128,-255,malla,0,PGAgain,1001584.0,277.0,True,True,True,1.6729187999989314
469.46,1,12,-128,-255,malla,1,BPo,991956.0,265.0,True,True,True,-190.07544079999965
469.82,1,12,-128,-255,malla,2,OPA_SUMo,875000.0,254.0,True,False,True,-2519.3360500000003
470.18,1,12,-128,-255,malla,3,SUMo,875000.0,256.0,True,False,True,-2519.3360500000003
470.54,1,12,-128,-255,malla,4,LPo,875000.0,274.0,True,False,True,-2519.3360500000003
472.4,1,12,-128,-128,malla,0,PGAgain,1001566.0,274.0,True,True,True,1.314436200000616
472.76,1,12,-128,-128,malla,1,BPo,991961.0,264.0,True,True,True,-189.97586229999976
473.12,1,12,-128,-128,malla,2,OPA_SUMo,960291.0,245.0,True,True,True,-820.706081299999
473.48,1,12,-128,-128,malla,3,SUMo,962223.0,271.0,True,True,True,-782.2289489000009
473.84,1,12,-128,-128,malla,4,LPo,875031.0,272.0,True,False,True,-2518.718663300001
