sector,phi_deg,theta_deg,gamma_deg,rho_paso_mm,x_perfil_mm,y_perfil_mm,radio_perfil_mm,mu_deg
subida,21.000,-15.5644,173.3621,82.9072,-62.3521,9.4215,63.0599,1.400
subida,21.500,-15.5435,172.8692,82.9853,-62.3454,10.0167,63.1450,1.272
subida,22.000,-15.5220,172.3766,83.0652,-62.3351,10.6124,63.2321,1.144
subida,22.500,-15.5000,171.8841,83.1469,-62.3212,11.2086,63.3211,1.018
subida,23.000,-15.4775,171.3918,83.2305,-62.3035,11.8053,63.4121,0.892
subida,23.500,-15.4546,170.8997,83.3159,-62.2822,12.4024,63.5051,0.766
subida,24.000,-15.4311,170.4078,83.4031,-62.2572,13.0000,63.6000,0.642
subida,24.500,-15.4072,169.9160,83.4922,-62.2285,13.5981,63.6969,0.518
subida,25.000,-15.3827,169.4244,83.5831,-62.1960,14.1966,63.7957,0.395
subida,25.500,-15.3578,168.9330,83.6758,-62.1599,14.7956,63.8965,0.273
subida,26.000,-15.3323,168.4418,83.7704,-62.1200,15.3950,63.9992,0.152
subida,26.500,-15.3064,167.9507,83.8668,-62.0763,15.9949,64.1039,0.031
subida,27.000,-15.2800,167.4598,83.9650,-62.0290,16.5951,64.2105,0.089
subida,27.500,-15.2531,166.9692,84.0651,-61.9778,17.1958,64.3191,0.208
subida,28.000,-15.2257,166.4787,84.1670,-61.9229,17.7969,64.4296,0.326
subida,28.500,-15.1978,165.9883,84.2707,-61.8641,18.3984,64.5420,0.444
subida,29.000,-15.1694,165.4982,84.3763,-61.8016,19.0003,64.6564,0.560
subida,29.500,-15.1405,165.0082,84.4837,-61.7352,19.6026,64.7727,0.676
subida,30.000,-15.1111,164.5184,84.5929,-61.6651,20.2052,64.8909,0.791
subida,30.500,-15.0812,164.0288,84.7039,-61.5910,20.8082,65.0111,0.905
subida,31.000,-15.0509,163.5394,84.8168,-61.5132,21.4116,65.1332,1.019
subida,31.500,-15.0200,163.0502,84.9315,-61.4314,22.0153,65.2571,1.131
subida,32.000,-14.9886,162.5612,85.0481,-61.3458,22.6193,65.3831,1.243
subida,32.500,-14.9568,162.0723,85.1664,-61.2563,23.2237,65.5109,1.353
subida,33.000,-14.9244,161.5836,85.2866,-61.1629,23.8284,65.6406,1.463
subida,33.500,-14.8916,161.0951,85.4087,-61.0655,24.4334,65.7723,1.572
subida,34.000,-14.8583,160.6069,85.5325,-60.9643,25.0386,65.9058,1.680
subida,34.500,-14.8244,160.1187,85.6582,-60.8590,25.6442,66.0413,1.787
subida,35.000,-14.7901,159.6308,85.7857,-60.7499,26.2500,66.1786,1.894
subida,35.500,-14.7553,159.1431,85.9151,-60.6367,26.8561,66.3179,1.999
subida,36.000,-14.7200,158.6556,86.0462,-60.5195,27.4624,66.4590,2.103
subida,36.500,-14.6842,158.1682,86.1792,-60.3983,28.0690,66.6020,2.207
subida,37.000,-14.6479,157.6811,86.3141,-60.2732,28.6758,66.7469,2.310
subida,37.500,-14.6111,157.1941,86.4507,-60.1439,29.2828,66.8938,2.411
subida,38.000,-14.5738,156.7073,86.5892,-60.0106,29.8900,67.0424,2.512
subida,38.500,-14.5360,156.2207,86.7295,-59.8733,30.4974,67.1930,2.612
subida,39.000,-14.4978,155.7343,86.8716,-59.7318,31.1049,67.3454,2.711
subida,39.500,-14.4590,155.2481,87.0155,-59.5863,31.7127,67.4998,2.809
subida,40.000,-14.4198,154.7621,87.1613,-59.4366,32.3205,67.6560,2.906
subida,40.500,-14.3800,154.2763,87.3089,-59.2828,32.9285,67.8140,3.002
subida,41.000,-14.3398,153.7907,87.4583,-59.1249,33.5366,67.9739,3.097
