sample,time_s,value_v
240,0.092165899,1.001220698
241,0.092549923,1.001163478
242,0.092933948,1.001106258
243,0.093317972,1.000991818
244,0.093701997,1.001163478
245,0.094086022,1.001373286
246,0.094470046,1.001430506
247,0.094854071,1.001335139
248,0.095238095,1.001220698
249,0.095622120,1.001239772
250,0.096006144,1.001296992
251,0.096390169,1.001239772
252,0.096774194,1.001201625
253,0.097158218,1.001144405
254,0.097542243,1.001220698
255,0.097926267,1.001296992
256,0.098310292,1.001373286
257,0.098694316,1.001583093
258,0.099078341,1.001544946
259,0.099462366,1.001392359
260,0.099846390,1.001277919
261,0.100230415,1.001220698
262,0.100614439,1.001277919
263,0.100998464,1.001373286
264,0.101382488,1.001201625
265,0.101766513,1.001106258
266,0.102150538,1.000934597
267,0.102534562,1.000915524
268,0.102918587,1.000972744
269,0.103302611,1.000953671
270,0.103686636,1.000953671
271,0.104070661,1.001010891
272,0.104454685,1.001182552
273,0.104838710,1.001277919
274,0.105222734,1.001182552
275,0.105606759,1.001010891
276,0.105990783,1.001049038
277,0.106374808,1.000877377
278,0.106758833,1.000820157
279,0.107142857,1.000877377
280,0.107526882,1.000953671
281,0.107910906,1.000820157
282,0.108294931,1.000667569
283,0.108678955,1.000667569
284,0.109062980,1.000686643
285,0.109447005,1.000705716
286,0.109831029,1.000724790
287,0.110215054,1.000915524
288,0.110599078,1.000953671
289,0.110983103,1.001106258
290,0.111367127,1.001068111
291,0.111751152,1.000991818
292,0.112135177,1.001029964
293,0.112519201,1.001029964
294,0.112903226,1.001106258
295,0.113287250,1.001106258
296,0.113671275,1.001106258
297,0.114055300,1.001220698
298,0.114439324,1.001163478
299,0.114823349,1.001182552
